DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
16/12/2008;;;addTrap;;;;session1;;
17/12/2008;;;checkTrap;;;;session1;;
18/12/2008;;;checkTrap;;;;session1;;
19/12/2008;;;checkTrap;;;;session1;;
20/12/2008;;;checkTrap;;;;session1;;
21/12/2008;;;removeTrap;;;;session1;;
16/03/2009;;;addTrap;;;;session2;;
17/03/2009;;;checkTrap;;;;session2;;
18/03/2009;;;checkTrap;;;;session2;;
19/03/2009;;;checkTrap;;;;session2;;
20/03/2009;;;checkTrap;;;;session2;;
21/03/2009;;;removeTrap;;;;session2;;
16/06/2009;;;addTrap;;;;session3;;
17/06/2009;;;checkTrap;;;;session3;;
18/06/2009;;;checkTrap;;;;session3;;
19/06/2009;;;checkTrap;;;;session3;;
20/06/2009;;;checkTrap;;;;session3;;
21/06/2009;;;removeTrap;;;;session3;;
16/09/2009;;;addTrap;;;;session4;;
17/09/2009;;;checkTrap;;;;session4;;
18/09/2009;;;checkTrap;;;;session4;;
19/09/2009;;;checkTrap;;;;session4;;
20/09/2009;;;checkTrap;;;;session4;;
21/09/2009;;;removeTrap;;;;session4;;
16/12/2009;;;addTrap;;;;session5;;
17/12/2009;;;checkTrap;;;;session5;;
18/12/2009;;;checkTrap;;;;session5;;
19/12/2009;;;checkTrap;;;;session5;;
20/12/2009;;;checkTrap;;;;session5;;
21/12/2009;;;removeTrap;;;;session5;;
16/03/2010;;;addTrap;;;;session6;;
17/03/2010;;;checkTrap;;;;session6;;
18/03/2010;;;checkTrap;;;;session6;;
19/03/2010;;;checkTrap;;;;session6;;
20/03/2010;;;checkTrap;;;;session6;;
21/03/2010;;;removeTrap;;;;session6;;
16/06/2010;;;addTrap;;;;session7;;
17/06/2010;;;checkTrap;;;;session7;;
18/06/2010;;;checkTrap;;;;session7;;
19/06/2010;;;checkTrap;;;;session7;;
20/06/2010;;;checkTrap;;;;session7;;
21/06/2010;;;removeTrap;;;;session7;;
16/09/2010;;;addTrap;;;;session8;;
17/09/2010;;;checkTrap;;;;session8;;
18/09/2010;;;checkTrap;;;;session8;;
19/09/2010;;;checkTrap;;;;session8;;
20/09/2010;;;checkTrap;;;;session8;;
21/09/2010;;;removeTrap;;;;session8;;
16/12/2010;;;addTrap;;;;session9;;
17/12/2010;;;checkTrap;;;;session9;;
18/12/2010;;;checkTrap;;;;session9;;
19/12/2010;;;checkTrap;;;;session9;;
20/12/2010;;;checkTrap;;;;session9;;
21/12/2010;;;removeTrap;;;;session9;;
16/03/2011;;;addTrap;;;;session10;;
17/03/2011;;;checkTrap;;;;session10;;
18/03/2011;;;checkTrap;;;;session10;;
19/03/2011;;;checkTrap;;;;session10;;
20/03/2011;;;checkTrap;;;;session10;;
21/03/2011;;;removeTrap;;;;session10;;
16/06/2011;;;addTrap;;;;session11;;
17/06/2011;;;checkTrap;;;;session11;;
18/06/2011;;;checkTrap;;;;session11;;
19/06/2011;;;checkTrap;;;;session11;;
20/06/2011;;;checkTrap;;;;session11;;
21/06/2011;;;removeTrap;;;;session11;;
16/09/2011;;;addTrap;;;;session12;;
17/09/2011;;;checkTrap;;;;session12;;
18/09/2011;;;checkTrap;;;;session12;;
19/09/2011;;;checkTrap;;;;session12;;
20/09/2011;;;checkTrap;;;;session12;;
21/09/2011;;;removeTrap;;;;session12;;
16/12/2011;;;addTrap;;;;session13;;
17/12/2011;;;checkTrap;;;;session13;;
18/12/2011;;;checkTrap;;;;session13;;
19/12/2011;;;checkTrap;;;;session13;;
20/12/2011;;;checkTrap;;;;session13;;
21/12/2011;;;removeTrap;;;;session13;;
16/03/2012;;;addTrap;;;;session14;;
17/03/2012;;;checkTrap;;;;session14;;
18/03/2012;;;checkTrap;;;;session14;;
19/03/2012;;;checkTrap;;;;session14;;
20/03/2012;;;checkTrap;;;;session14;;
21/03/2012;;;removeTrap;;;;session14;;
16/06/2012;;;addTrap;;;;session15;;
17/06/2012;;;checkTrap;;;;session15;;
18/06/2012;;;checkTrap;;;;session15;;
19/06/2012;;;checkTrap;;;;session15;;
20/06/2012;;;checkTrap;;;;session15;;
21/06/2012;;;removeTrap;;;;session15;;
