DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;;;;;;;;;
26/11/1983;154;129;city;Ambidedi;;;;13/05/2015;LG,JMD,JLF;;;;;;;;;;
26/11/1983;64;60;city;Badi Nieriko;;21235;héloise;19/07/2014;JLF;;;;;;;;;;
26/11/1983;116;147;city;Bakel;;51737;*;19/07/2014;JLF;;;;;;;;;;
26/11/1983;75;96;city;Bala;;33846;*;19/07/2014;JLF;;X;Y;EVENT;VALUE1;;;;;
26/11/1983;128;137;city;Ballou;;48249;jaune;19/07/2014;JLF;;64;60;rat;100;Badi Nieriko;1;Badi Nieriko;0.66;664.91
26/11/1983;128;26;city;Bantako;;9399;*;19/07/2014;JLF;;75;96;rat; -     ;Bala;2;Bala;0.74;742.62
26/11/1983;147;29;city;Bembou;;;;13/05/2015;LG,JMD,JLF;;128;26;rat;71;Bantako;3;Bantako;0.69;686.67
26/11/1983;114;61;city;Boutougoufara;;;;13/05/2015;LG,JMD,JLF;;103;78;rat;125;Dianke Makha;4;Dianke Makha;0.7;701.3
26/11/1983;135;54;city;Bransan;;;;13/05/2015;LG,JMD,JLF;;123;94;rat; -     ;Dide Gassama;5;Dide Gassama;0.83;829.55
26/11/1983;27;103;city;Daoudy;;;;13/05/2015;LG,JMD,JLF;;107;101;rat;33;Doulouyabe;6;Doulouyabe;0.89;893.33
26/11/1983;73;53;city;Dar Salam;;;;13/05/2015;LG,JMD,JLF;;44;65;rat; -     ;Gouloumbou;7;Gouloumbou;0.63;633.54
26/11/1983;69;57;city;Dialacoto;;29263;*;19/07/2014;JLF;;62;96;rat;250;Ndiobene;8;Ndiobene;0.85;850.96
26/11/1983;103;78;city;Dianke Makha;;27225;héloise;19/07/2014;JLF;;136;47;rat; -     ;Sabodala;9;Sabodala;0.77;773.33
26/11/1983;123;94;city;Dide Gassama;;33194;heloise;19/07/2014;JLF;;33;85;rat; -     ;Sintiou Doube;10;Sintiou Doube;0.79;787.23
26/11/1983;79;51;city;Dienou Diala;;;;13/05/2015;LG,JMD,JLF;;102;84;rat;63;Soutouta;11;Soutouta;0.71;706.03
