DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
01/01/1983;313;43;track;Sare Ansou Korasse;bembou-bransan;15364;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;306;47;track;Tourokhoto;bembou-bransan;16757;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;313;41;track;;bembou-bransan;14664;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;313;42;track;;bembou-bransan;15014;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;289;99;track;;;;depuis Decennal, ;10/12/2015;JLF, LG, JMD
01/01/1983;293;94;track;;;;depuis Decennal, ;10/12/2015;JLF, LG, JMD
01/01/1983;293;96;track;;;;depuis Decennal, ;10/12/2015;JLF, LG, JMD
01/01/1983;306;48;track;;bembou-bransan;17457;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;306;49;track;;bembou-bransan;17457;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;306;51;track;;bembou-bransan;18157;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;306;53;track;;bembou-bransan;18857;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;308;49;track;;bembou-bransan;17459;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;309;48;track;;bembou-bransan;17110;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;309;49;track;;bembou-bransan;17460;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;311;48;track;;bembou-bransan;17112;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;313;39;track;;bembou-bransan;13964;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;313;40;track;;bembou-bransan;14314;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;313;44;track;;bembou-bransan;15714;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;314;37;track;;bembou-bransan;13265;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;314;39;track;;bembou-bransan;13965;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;315;34;track;;bembou-bransan;12216;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;315;35;track;;bembou-bransan;12566;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;315;36;track;;bembou-bransan;12916;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;315;37;track;;bembou-bransan;13266;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;317;30;track;;bembou-bransan;10818;depuis Decennal, ;10/12/2015;JLF,LG,JMD
01/01/1983;290;98;track;;;;depuis Decennal, ;10/12/2015;JLF, LG, JMD
