DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
30/12/1979;4;138;market;Dakar;7;;jour de marché junk;09/12/2015;JLF
30/12/1979;57;210;market;Saint-Louis;0;73558;;01/12/2015;JLF & LG
09/03/1983;-17.4315;14.6841;Rattus rattus;14;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
17/03/1983;-16.42599319;13.71461782;market;Agnam Thiodaye;6;;depuis Données Dalecky et al.;05/04/2017;J. Le Fur
17/03/1983;-16.42599319;13.71461782;Mastomys erythroleucus;8;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
18/03/1983;-16.257365;13.985422;market;Alagui Coré;1;;depuis Données Dalecky et al.;05/04/2017;J. Le Fur
18/03/1983;-16.42599319;13.71461782;Mastomys erythroleucus;3;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
18/03/1983;-16.2574;13.9854;Rattus rattus;2;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
06/06/1983;-16.58948531;12.44833924;market;Anambé;0;;depuis Données Dalecky et al.;05/04/2017;J. Le Fur
06/06/1983;-16.5895;12.4483;Rattus rattus;1;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
08/06/1983;-16.7175;12.349167;market;Angotine (Ngoutine);4;;depuis Données Dalecky et al.;05/04/2017;J. Le Fur
08/06/1983;-16.7175;12.349167;Mastomys erythroleucus;1;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
08/06/1983;-16.7175;12.3492;Rattus rattus;9;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
02/09/1983;-16.5895;12.4483;Rattus rattus;34;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
06/09/1983;-16.7175;12.3492;Rattus rattus;21;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
09/09/1983;-16.63805;12.461117;market;Baali 1 (Deck-Hot);6;;depuis Données Dalecky et al.;05/04/2017;J. Le Fur
09/09/1983;-16.63805;12.461117;Mastomys erythroleucus;1;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
09/09/1983;-16.6381;12.4611;Rattus rattus;30;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
16/11/1983;-12.213146;14.48088725;market;Baali 2 (Deck-Hot);0;;depuis Données Dalecky et al.;05/04/2017;J. Le Fur
16/11/1983;-12.216667;14.483333;Mastomys erythroleucus;5;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
21/11/1983;-12.289717;14.783333;market;Bachalou;3;;depuis Données Dalecky et al.;05/04/2017;J. Le Fur
21/11/1983;-12.289717;14.783333;Mastomys erythroleucus;3;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
24/11/1983;-12.895283;15.238883;market;Badi (Ancien village);3;;depuis Données Dalecky et al.;05/04/2017;J. Le Fur
24/11/1983;-12.895283;15.238883;Mastomys erythroleucus;2;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
