DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
28/11/2013;-13.3759   ; 13.3773   ;Rattus rattus;74;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
12/06/1985;-16.6381   ; 12.4611   ;Rattus rattus;68;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
16/12/1988;-15.6814   ; 12.5667   ;Rattus rattus;48;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
07/02/2014;-12.4858   ; 13.3980   ;Rattus rattus;40;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
06/12/1985;-16.6157   ; 13.6805   ;Rattus rattus;39;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
06/02/2013;-13.1731   ; 13.6908   ;Rattus rattus;36;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
14/01/2014;-15.6814   ; 12.5667   ;Rattus rattus;35;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
22/10/2013;-13.7174   ; 13.4698   ;Rattus rattus;35;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
23/10/1988;-16.6157   ; 13.6805   ;Rattus rattus;35;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
29/05/1984;-16.7175   ; 12.3492   ;Rattus rattus;34;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
02/09/1983;-16.5895   ; 12.4483   ;Rattus rattus;34;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
22/11/2013;-12.1795   ; 12.5537   ;Rattus rattus;34;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
02/03/1994;-13.6758   ; 13.6990   ;Rattus rattus;32;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
10/11/1988;-16.5578   ; 12.3635   ;Rattus rattus;31;;;CompilCommensauxSénégalAmbroise;12/04/2017;J.Le Fur
