DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;COMMENT
01/01/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
02/01/1999;2;1;Gerbillus_nigeriae;F;5;20151005-CapturesGnigeriaePE.jlf.ms
02/01/1999;1;2;Gerbillus_nigeriae;M;4;20151005-CapturesGnigeriaePE.jlf.ms
02/01/1999;1;2;owl;M;2;20151005-CapturesGnigeriaePE.jlf.ms
02/01/1999;5;18;owl;M;2;20151005-CapturesGnigeriaePE.jlf.ms
02/01/1999;8;29;owl;M;2;20151005-CapturesGnigeriaePE.jlf.ms
01/02/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/03/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/04/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/05/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/06/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/07/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
02/07/1999;2;1;Gerbillus_nigeriae;F;3;20151005-CapturesGnigeriaePE.jlf.ms
02/07/1999;2;1;Gerbillus_nigeriae;M;8;20151005-CapturesGnigeriaePE.jlf.ms
02/07/1999;2;1;Gerbillus_nigeriae;F;10;20151005-CapturesGnigeriaePE.jlf.ms
02/07/1999;2;1;Gerbillus_nigeriae;M;15;20151005-CapturesGnigeriaePE.jlf.ms
02/07/1999;2;1;Gerbillus_nigeriae;F;25;20151005-CapturesGnigeriaePE.jlf.ms
02/07/1999;2;1;Gerbillus_nigeriae;M;1;20151005-CapturesGnigeriaePE.jlf.ms
02/07/1999;2;1;Gerbillus_nigeriae;F;12;20151005-CapturesGnigeriaePE.jlf.ms
02/07/1999;2;1;Gerbillus_nigeriae;M;3;20151005-CapturesGnigeriaePE.jlf.ms
01/08/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/09/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/10/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/11/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/12/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/01/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/02/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/03/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/04/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
