DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;
02/01/1909;9;140;river;;;49010;;18/07/2014;JLF;
02/01/1909;9;141;river;;;49360;;18/07/2014;JLF;
02/01/1909;10;141;river;;;49361;;18/07/2014;JLF;
02/01/1909;10;140;river;;;49011;;18/07/2014;JLF;
02/01/1909;11;141;river;;;49362;;18/07/2014;JLF;
02/01/1909;12;142;river;;;49713;;18/07/2014;JLF;
02/01/1909;12;141;river;;;49363;;18/07/2014;JLF;
02/01/1909;13;142;river;;;49714;;18/07/2014;JLF;
02/01/1909;13;141;river;;;49364;;18/07/2014;JLF;
02/01/1909;15;143;river;;;50066;;18/07/2014;JLF;
02/01/1909;15;142;river;;;49716;;18/07/2014;JLF;
02/01/1909;16;143;river;;;50067;;18/07/2014;JLF;
02/01/1909;16;142;river;;;49717;;18/07/2014;JLF;
02/01/1909;17;143;river;;;50068;;18/07/2014;JLF;
02/01/1909;17;144;river;;;50418;;18/07/2014;JLF;
02/01/1909;17;142;river;;;49718;;18/07/2014;JLF;
02/01/1909;18;144;river;;;50419;;18/07/2014;JLF;
02/01/1909;18;143;river;;;50069;;18/07/2014;JLF;
02/01/1909;24;148;river;;;51825;;18/07/2014;JLF;
02/01/1909;24;147;river;;;51475;;18/07/2014;JLF;
02/01/1909;25;145;river;;;50776;;18/07/2014;JLF;
02/01/1909;25;146;river;;;51126;;18/07/2014;JLF;
02/01/1909;25;147;river;;;51476;;18/07/2014;JLF;
02/01/1909;25;148;river;;;51826;;18/07/2014;JLF;
02/01/1909;26;146;river;;;51127;;18/07/2014;JLF;
02/01/1909;26;147;river;;;51477;;18/07/2014;JLF;
02/01/1909;26;145;river;;;50777;;18/07/2014;JLF;
02/01/1909;34;161;river;;;56385;;18/07/2014;JLF;
02/01/1909;34;160;river;;;56035;;18/07/2014;JLF;
02/01/1909;35;160;river;;;56036;;18/07/2014;JLF;
02/01/1909;37;163;river;;;57088;;18/07/2014;JLF;
02/01/1909;38;165;river;;;57789;;18/07/2014;JLF;
