DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;COMMENT;
03/01/1999;-15.471;15.345;Gerbillus_nigeriae;;;Dahra Djolof;pelotes
04/01/1999;-15.647;15.352;Gerbillus_nigeriae;;;Boulal;pelotes
05/01/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
06/01/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
07/01/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
08/01/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
09/01/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
10/01/1999;-16.132;16.261;Gerbillus_nigeriae;;;Ross Bethio;pelotes
11/01/1999;-15.471;15.345;Gerbillus_nigeriae;;;Dahra Djolof;pelotes
12/01/1999;-15.471;15.345;Gerbillus_nigeriae;;;Dahra Djolof;pelotes
13/01/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
14/01/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
15/01/1999;-14.619;16.5;Gerbillus_nigeriae;;;Ndioum;pelotes
16/01/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
17/01/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
18/01/1999;-15.471;15.345;Gerbillus_nigeriae;;;Dahra Djolof;pelotes
19/01/1999;-15.471;15.345;Gerbillus_nigeriae;;;Dahra Djolof;pelotes
20/01/1999;-15.471;15.345;Gerbillus_nigeriae;;;Dahra Djolof;pelotes
21/01/1999;-13.462;15.501;Gerbillus_nigeriae;;;Dienthadi;pelotes
22/01/1999;-13.462;15.501;Gerbillus_nigeriae;;;Dienthadi;pelotes
23/01/1999;-13.462;15.501;Gerbillus_nigeriae;;;Dienthadi;pelotes
24/01/1999;-13.462;15.501;Gerbillus_nigeriae;;;Dienthadi;pelotes
25/01/1999;-13.462;15.501;Gerbillus_nigeriae;;;Dienthadi;pelotes
26/01/1999;-13.462;15.501;Gerbillus_nigeriae;;;Dienthadi;pelotes
27/01/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
28/01/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
29/01/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
30/01/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
31/01/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
01/02/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
02/02/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
03/02/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
04/02/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
05/02/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
06/02/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
07/02/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
08/02/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
09/02/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
10/02/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
11/02/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
12/02/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
13/02/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
14/02/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
15/02/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
16/02/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
17/02/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
18/02/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
19/02/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
20/02/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
21/02/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
22/02/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
23/02/1999;-14.619;16.5;Gerbillus_nigeriae;;;Ndioum;pelotes
24/02/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
25/02/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
26/02/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
27/02/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
28/02/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
01/03/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
02/03/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
03/03/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
04/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
05/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
06/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
07/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
08/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
09/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
10/03/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
11/03/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
12/03/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
13/03/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
14/03/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
15/03/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
16/03/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
17/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
18/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
19/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
20/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
21/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
22/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
23/03/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
24/03/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
25/03/1999;-13.75;15.152;Gerbillus_nigeriae;;;Bélél;pelotes
26/03/1999;-16.132;16.261;Gerbillus_nigeriae;;;Ross Bethio;pelotes
27/03/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
28/03/1999;-15.099;16.5;Gerbillus_nigeriae;;;Thilé Boubacar;pelotes
29/03/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
30/03/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
31/03/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
01/04/1999;-14.334;16.5;Gerbillus_nigeriae;;;Diomandou;pelotes
02/04/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
03/04/1999;-15.725;16.176;Gerbillus_nigeriae;;;Diaguéli;pelotes
