DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;COMMENT;0 / 01 janv. 1999 - 23:00:02: A_Protocol.manageTimeLandmarks() start/end of breeding season
02/01/1999;-15.471;15.345;Gerbillus_nigeriae;M;;Dahra Djolof; [02/01/1999(-15.471,15.345)_Gerbillus_nigeriae_M_]
02/01/1999;-15.647;15.352;Gerbillus_nigeriae;M;;Boulal; [02/01/1999(-15.647,15.352)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-16.132;16.261;Gerbillus_nigeriae;M;;Ross Bethio; [02/01/1999(-16.132,16.261)_Gerbillus_nigeriae_M_]
02/01/1999;-15.471;15.345;Gerbillus_nigeriae;M;;Dahra Djolof; [02/01/1999(-15.471,15.345)_Gerbillus_nigeriae_M_]
02/01/1999;-15.471;15.345;Gerbillus_nigeriae;M;;Dahra Djolof; [02/01/1999(-15.471,15.345)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-15.725;16.176;Gerbillus_nigeriae;M;;Diaguéli; [02/01/1999(-15.725,16.176)_Gerbillus_nigeriae_M_]
02/01/1999;-14.619;16.5;Gerbillus_nigeriae;M;;Ndioum; [02/01/1999(-14.619,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-15.471;15.345;Gerbillus_nigeriae;M;;Dahra Djolof; [02/01/1999(-15.471,15.345)_Gerbillus_nigeriae_M_]
02/01/1999;-15.471;15.345;Gerbillus_nigeriae;M;;Dahra Djolof; [02/01/1999(-15.471,15.345)_Gerbillus_nigeriae_M_]
02/01/1999;-15.471;15.345;Gerbillus_nigeriae;M;;Dahra Djolof; [02/01/1999(-15.471,15.345)_Gerbillus_nigeriae_M_]
02/01/1999;-13.462;15.501;Gerbillus_nigeriae;M;;Dienthadi; [02/01/1999(-13.462,15.501)_Gerbillus_nigeriae_M_]
02/01/1999;-13.462;15.501;Gerbillus_nigeriae;M;;Dienthadi; [02/01/1999(-13.462,15.501)_Gerbillus_nigeriae_M_]
02/01/1999;-13.462;15.501;Gerbillus_nigeriae;M;;Dienthadi; [02/01/1999(-13.462,15.501)_Gerbillus_nigeriae_M_]
02/01/1999;-13.462;15.501;Gerbillus_nigeriae;M;;Dienthadi; [02/01/1999(-13.462,15.501)_Gerbillus_nigeriae_M_]
02/01/1999;-13.462;15.501;Gerbillus_nigeriae;M;;Dienthadi; [02/01/1999(-13.462,15.501)_Gerbillus_nigeriae_M_]
02/01/1999;-13.462;15.501;Gerbillus_nigeriae;M;;Dienthadi; [02/01/1999(-13.462,15.501)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-15.725;16.176;Gerbillus_nigeriae;M;;Diaguéli; [02/01/1999(-15.725,16.176)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-15.725;16.176;Gerbillus_nigeriae;M;;Diaguéli; [02/01/1999(-15.725,16.176)_Gerbillus_nigeriae_M_]
02/01/1999;-15.725;16.176;Gerbillus_nigeriae;M;;Diaguéli; [02/01/1999(-15.725,16.176)_Gerbillus_nigeriae_M_]
02/01/1999;-15.725;16.176;Gerbillus_nigeriae;M;;Diaguéli; [02/01/1999(-15.725,16.176)_Gerbillus_nigeriae_M_]
02/01/1999;-13.75;15.152;Gerbillus_nigeriae;M;;Bélél; [02/01/1999(-13.75,15.152)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-15.099;16.5;Gerbillus_nigeriae;M;;Thilé Boubacar; [02/01/1999(-15.099,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
02/01/1999;-14.334;16.5;Gerbillus_nigeriae;M;;Diomandou; [02/01/1999(-14.334,16.5)_Gerbillus_nigeriae_M_]
