DATE EVENT;X;Y;EVENT;NUMBER;SEX;STOCK;PIECE NATURE
09/11/2016;-14.426218;16.487501;Mus musculus;1;F;0;C/C/C
09/11/2016;-14.42626;16.487853;Mus musculus;1;F;++;C/C/C
09/11/2016;-14.42626;16.487853;Mus musculus;1;F;++;C/C/C
09/11/2016;-14.426385;16.487577;Mus musculus;1;F;0;C/C/C
09/11/2016;-14.426863;16.488028;Mus musculus;1;F;0;C/C/F
09/11/2016;-14.42688;16.488057;Mus musculus;1;M;0;C/C/F
09/11/2016;-14.427242;16.488073;Mus musculus;1;M;0;C/C/F
09/11/2016;-14.427442;16.488006;Mus musculus;1;M;0;C/C/Z
09/11/2016;-14.42765;16.488353;Mus musculus;1;M;+;C/B/Z
09/11/2016;-14.42765;16.488353;Mus musculus;1;F;+;C/B/Z
09/11/2016;-14.42765;16.488353;Mus musculus;1;M;0;C/B/Z
09/11/2016;-14.42779;16.4888;Mus musculus;1;F;0;B/B/B
09/11/2016;-14.427568;16.488683;Mus musculus;1;null;0;C/C/Z
09/11/2016;-14.43322;16.486999;Mus musculus;1;F;++;C/C/Z+P
09/11/2016;-14.433179;16.486842;Mus musculus;1;F;++;C/C/C
09/11/2016;-14.433052;16.486634;Mus musculus;1;M;0;C/C/C
09/11/2016;-14.432939;16.486411;Mus musculus;1;M;+;C/C/C
09/11/2016;-14.432939;16.486411;Mus musculus;1;F;+;C/C/C
09/11/2016;-14.432939;16.486411;Mus musculus;1;F;+;C/C/C
09/11/2016;-14.433216;16.486366;Mus musculus;1;F;++;C/C/C
09/11/2016;-14.433216;16.486366;Mus musculus;1;F;++;C/C/C
09/11/2016;-14.432804;16.485632;Mus musculus;1;M;0;C/C/C
09/11/2016;-14.42765;16.488353;Mus musculus;1;F;0;C/B/Z
09/11/2016;-14.433052;16.486634;Mus musculus;1;F;0;C/C/C
10/11/2016;-14.426218;16.487501;Mus musculus;1;F;0;C/C/C
10/11/2016;-14.427231;16.488143;Mus musculus;1;M;0;C/C/Z
10/11/2016;-14.42765;16.488353;Mus musculus;1;F;0;C/B/Z
10/11/2016;-14.42765;16.488353;Mus musculus;1;F;+;C/B/Z
10/11/2016;-14.42765;16.488353;Mus musculus;1;F;0;C/B/Z
10/11/2016;-14.42779;16.4888;Mus musculus;1;F;0;B/B/B
10/11/2016;-14.427684;16.488764;Mus musculus;1;F;0;B/B/B
10/11/2016;-14.427791;16.488809;Mus musculus;1;F;++;B/B/B
10/11/2016;-14.428426;16.488638;Mus musculus;1;F;0;B/B/Z
10/11/2016;-14.428437;16.488624;Mus musculus;1;M;++;B/B/Z
10/11/2016;-14.428305;16.487035;Mus musculus;1;F;++;C/C/Z
10/11/2016;-14.433179;16.486842;Mus musculus;1;M;++;C/C/C
10/11/2016;-14.433179;16.486842;Mus musculus;1;F;++;C/C/C
10/11/2016;-14.433179;16.486842;Mus musculus;1;F;++;C/C/C
10/11/2016;-14.433052;16.486634;Mus musculus;1;F;0;C/C/C
10/11/2016;-14.432939;16.486411;Mus musculus;1;F;+;C/C/C
10/11/2016;-14.432939;16.486411;Mus musculus;1;M;+;C/C/C
10/11/2016;-14.432939;16.486411;Mus musculus;1;F;+;C/C/C
10/11/2016;-14.433216;16.486366;Mus musculus;1;M;+;C/C/C
10/11/2016;-14.432749;16.485911;Mus musculus;1;F;++;C/C/Z
10/11/2016;-14.432519;16.485688;Mus musculus;1;F;0;C/C/C
04/05/2018;-14.433188;16.486346;Mus musculus;1;F;++;C/C/C
04/05/2018;-14.432471;16.485687;Mus musculus;1;M;+;C/C/Z
04/05/2018;-14.432391;16.48572;Mus musculus;1;M;+;C/C/Z
05/11/2018;-14.432481;16.48556;Mus musculus;1;F;++;C/C/Z
05/11/2018;-14.432481;16.48556;Mus musculus;1;F;++;C/C/Z
05/11/2018;-14.432481;16.48556;Mus musculus;1;F;++;C/C/Z
05/11/2018;-14.43248;16.485587;Mus musculus;1;F;0;C+S/C/Z
05/11/2018;-14.432428;16.485467;Mus musculus;1;F;+;C/C/Z
05/11/2018;-14.430684;16.484944;Mus musculus;1;M;+;C/C/Z
05/11/2018;-14.430684;16.484944;Mus musculus;1;F;+;C/C/Z
05/11/2018;-14.425798;16.488487;Mus musculus;1;M;0;S/B/Z
05/11/2018;-14.425881;16.488598;Mus musculus;1;F;0;C/C/C
05/11/2018;-14.426862;16.487996;Mus musculus;1;M;0;C/C/F
05/11/2018;-14.426831;16.487976;Mus musculus;1;F;0;
05/11/2018;-14.426847;16.488041;Mus musculus;1;M;0;
05/11/2018;-14.428985;16.48734;Mus musculus;1;F;+;C/B/Z
05/11/2018;-14.429039;16.487374;Mus musculus;1;M;+;C/C/Z
05/11/2018;-14.429039;16.487374;Mus musculus;1;M;+;C/C/Z
05/11/2018;-14.429906;16.487363;Mus musculus;1;F;+;C/C/Z
05/11/2018;-14.433514;16.480456;Mus musculus;1;F;+;C/C/Z
05/11/2018;-14.433164;16.48317;Mus musculus;1;M;+;C/C/Z
05/11/2018;-14.432311;16.484767;Mus musculus;1;M;0;C/C/C
05/11/2018;-14.432311;16.484767;Mus musculus;1;F;0;C/C/C
05/11/2018;-14.432388;16.484955;Mus musculus;1;F;0;C/C/C
05/11/2018;-14.433872;16.487059;Mus musculus;1;F;++;C/C/Z
05/11/2018;-14.436373;16.488448;Mus musculus;1;F;+;S/B/B
06/11/2018;-14.459494;16.49364;Tick;4;M;0;
06/11/2018;-14.424591;16.488805;Tick;0;M;0;
06/11/2018;-14.424589;16.488836;Tick;0;F;+;
06/11/2018;-14.423683;16.48917;Tick;30;M;0;
06/11/2018;-14.432525;16.485649;Mus musculus;1;F;++;C/C/Z
06/11/2018;-14.432477;16.485574;Mus musculus;1;M;0;C+S/C/Z
06/11/2018;-14.432477;16.485574;Mus musculus;1;M;0;C+S/C/Z
06/11/2018;-14.432481;16.48556;Mus musculus;1;F;++;C/C/Z
06/11/2018;-14.432481;16.48556;Mus musculus;1;F;++;C/C/Z
06/11/2018;-14.432481;16.48556;Mus musculus;1;M;++;C/C/Z
06/11/2018;-14.432428;16.485467;Mus musculus;1;M;+;C/C/Z
06/11/2018;-14.423738;16.489081;Mus musculus;1;F;0;C/C/Z
06/11/2018;-14.424583;16.488928;Mus musculus;1;F;+;C+S/C/Z
06/11/2018;-14.426469;16.488023;Mus musculus;1;F;0;C/C/C
06/11/2018;-14.426387;16.488;Mus musculus;1;M;+;C/C/C
06/11/2018;-14.426847;16.488041;Mus musculus;1;F;0;C/C/F
06/11/2018;-14.426831;16.487976;Mus musculus;1;F;0;C/C/F
06/11/2018;-14.429106;16.4874;Mus musculus;1;F;+;C/C/Z
06/11/2018;-14.429039;16.487374;Mus musculus;1;F;+;C/C/Z
06/11/2018;-14.428985;16.48734;Mus musculus;1;F;+;C/C/Z
06/11/2018;-14.432042;16.486539;Mus musculus;1;M;++;C/C/Z
06/11/2018;-14.431642;16.489332;Mus musculus;1;F;0;C/B/Z
06/11/2018;-14.430918;16.492603;Mus musculus;1;F;0;B/B/Z
06/11/2018;-14.429155;16.48528;Mus musculus;1;M;+;C/C/C
06/11/2018;-14.429104;16.485316;Mus musculus;1;F;+;B/B/Z
06/11/2018;-14.432311;16.484767;Mus musculus;1;M;0;C/C/C
06/11/2018;-14.432311;16.484767;Mus musculus;1;F;0;C/C/C
06/11/2018;-14.43245;16.48508;Mus musculus;1;M;++;C/C/C
06/11/2018;-14.433574;16.485675;Mus musculus;1;M;+;C/C/C
06/11/2018;-14.434434;16.484347;Mus musculus;1;M;+;C/C/Z
06/11/2018;-14.433667;16.486887;Mus musculus;1;M;++;C/C/Z
06/11/2018;-14.433767;16.487155;Mus musculus;1;M;++;C/C/Z
06/11/2018;-14.437356;16.490034;Mus musculus;1;M;0;C/C/C
06/11/2018;-14.439471;16.485447;Mus musculus;1;M;0;C/B/Z
06/11/2018;-14.446097;16.490266;Mus musculus;1;F;0;C/C/C
07/11/2018;-14.430765;16.484943;Tick;0;M;+;
07/11/2018;-14.430477;16.485018;Tick;0;M;0;
07/11/2018;-14.42971;16.487067;Tick;2;M;+;
07/11/2018;-14.429047;16.487397;Tick;0;F;+;
07/11/2018;-14.429001;16.487361;Tick;0;F;0;
07/11/2018;-14.428997;16.487385;Tick;0;M;+;
07/11/2018;-14.4269;16.487953;Tick;0;M;0;
07/11/2018;-14.426845;16.487939;Tick;0;F;0;
07/11/2018;-14.426366;16.48816;Tick;0;M;+;
07/11/2018;-14.426338;16.488181;Tick;0;M;0;
08/11/2018;-14.431882;16.488469;Tick;0;M;0;
08/11/2018;-14.431685;16.487834;Tick;0;M;0;
08/11/2018;-14.431668;16.487819;Tick;0;M;++;
08/11/2018;-14.431648;16.489372;Tick;0;M;0;
08/11/2018;-14.431646;16.487799;Tick;0;M;0;
08/11/2018;-14.431642;16.48784;Tick;0;M;0;
08/11/2018;-14.431353;16.489922;Tick;0;M;0;
08/11/2018;-14.430965;16.492632;Tick;0;M;0;
08/11/2018;-14.429194;16.485237;Tick;0;M;+;
06/11/2019;-14,432559;16,483106;Mus musculus;1;F;0;C/C/Z
06/11/2019;-14,43239;16,483006;Mus musculus;1;M;+;C/C/C
06/11/2019;-14,43240;16,483007;Mus musculus;1;F;+;C/C/C
06/11/2019;-14,432362;16,48312;Mus musculus;1;F;+;C/C/Z
06/11/2019;-14,432579;16,482043;Mus musculus;1;M;+;C+S/C/Z
06/11/2019;-14,432309;16,48223;Mus musculus;1;M;0;B/B/Z
06/11/2019;-14,433194;16,482145;Mus musculus;1;M;+;S/B/B
