ID;X;Y;TIME;DESIRE;COMMENTS
4601;71;125;06:00;WANDER;Priere et preparer petit dejeuner:Cour
4601;85;78;08:00;WANDER;Vendre du charbon:Marche
4601;78;128;12:00;WANDER;Preparer le dejeuner:Cuisine
4601;57;148;15:00;FORAGE;Palabrer:Veranda
4601;78;128;18:00;WANDER;Preparer le diner:Cuisine
4601;62;130;21:00;WANDER;Repos:Cour
4601;49;142;23:00;REST;Dormir : TC_Cour,TF_Chambre
1501;-14.43222772;16.48557398;06:00;WANDER;Tâche menagère:Cour
1501;-14.43204797;16.48548547;08:00;WANDER;Cuisine(156):Preparer petit dejeuner
1501;-14.43239296;16.48611752;10:00;WANDER;Marche:Aller au marche
1501;-14.43201092;16.48561709;11:00;WANDER;Entrer dans le grenier:Magasin (157)
1501;-14.43204797;16.48548547;11:30;WANDER;Preparer le dejeuner:Cuisine
1501;-14.43222772;16.48557398;14:00;FORAGE;Cour:Manger
1501;-14.43201092;16.48561709;14:30;REST;Chambre:Sieste
1501;-14.43190775;16.48592031;17:00;WANDER;Village:Puiser de l'eau
1501;-14.43222772;16.48557398;18:00;WANDER;Cour:Repos
1501;-14.43202806;16.48563886;00:00;REST;TC_Cour,TF_Chambre:Dormir
