TIME;X;Y;ID;DESIRE;COMMENTS;;DATE EVENT;X;Y;EVENT;VALUES_1;VALUES_2;COMMENTS;
06:00;71;125;4601;WANDER;Priere et preparer petit dejeuner:Cour;;09/11/2016;-14.432376;16.485621;Tick;10;5;2020.11.10 M.Sall ;Junk_Values2
08:00;112;139;4601;WANDER;Vendre du charbon:Marche;;09/11/2016;-14.432468;16.485534;Tick;1;;2020.11.10 M.Sall ;
12:00;78;128;4601;WANDER;Preparer le dejeuner:Cuisine;;09/11/2016;-14.42971;16.487067;Tick;2;2;2020.11.10 M.Sall ;Junk_Values2
15:00;57;148;4601;FORAGE;Palabrer:Veranda;;09/11/2016;-14.432441;16.485593;Tick;1;;2020.11.10 M.Sall ;
18:00;78;128;4601;WANDER;Preparer le diner:Cuisine;;09/11/2016;-14.432437;16.485571;Tick;11;4;2020.11.10 M.Sall ;Junk_Values2
21:00;62;130;4601;WANDER;Repos:Cour;;09/11/2016;-14.423683;16.48917;Tick;30;;2020.11.10 M.Sall ;
23:00;49;142;4601;REST;Dormir : TC_Cour,TF_Chambre;;09/11/2016;-14.459494;16.49364;Tick;4;1;2020.11.10 M.Sall ;Junk_Values2
06:00;-14.43222772;16.48557398;1501;WANDER;Tâche menagère:Cour;;09/11/2016;-14.433513;16.482306;Tick;1;;2020.11.10 M.Sall ;
08:00;-14.43204797;16.48548547;1501;WANDER;Cuisine(156):Preparer petit dejeuner;;09/11/2016;-14.436695;16.489361;Tick;4;3;2020.11.10 M.Sall ;Junk_Values2
10:00;-14.43239296;16.48611752;1501;WANDER;Marche:Aller au marche;;09/11/2016;-14.436721;16.489425;Tick;1;1;2020.11.10 M.Sall ;Junk_Values3
11:00;-14.43201092;16.48561709;1501;WANDER;Entrer dans le grenier:Magasin (157);;09/11/2016;-14.436736;16.489434;Tick;3;1;2020.11.10 M.Sall ;Junk_Values4
11:30;-14.43204797;16.48548547;1501;WANDER;Preparer le dejeuner:Cuisine;;09/11/2016;-14.42971;16.487067;Tick;2;1;2020.11.10 M.Sall ;Junk_Values5
14:00;-14.43222772;16.48557398;1501;FORAGE;Cour:Manger;;09/11/2016;-14.426218;16.487501;Mus musculus;F;;2020.11.10 M.Sall ;
14:30;-14.43201092;16.48561709;1501;REST;Chambre:Sieste;;09/11/2016;-14.42626;16.487853;Mus musculus;F;+;2020.11.10 M.Sall ;Junk_Values5
17:00;-14.43190775;16.48592031;1501;WANDER;Village:Puiser de l'eau;;09/11/2016;-14.42626;16.487853;Mus musculus;F;;2020.11.10 M.Sall ;
18:00;-14.43222772;16.48557398;1501;WANDER;Cour:Repos;;09/11/2016;-14.426385;16.487577;Mus musculus;F;;2020.11.10 M.Sall ;
00:00;-14.43202806;16.48563886;1501;REST;TC_Cour,TF_Chambre:Dormir;;09/11/2016;-14.426863;16.488028;Mus musculus;F;+;2020.11.10 M.Sall ;Junk_Values5
;;;;;;;09/11/2016;-14.42688;16.488057;Mus musculus;M;;2020.11.10 M.Sall ;
;;;;;;;09/11/2016;-14.427242;16.488073;Mus musculus;M;;2020.11.10 M.Sall ;
;;;;;;;09/11/2016;-14.427442;16.488006;Mus musculus;M;+;2020.11.10 M.Sall ;Junk_Values5
