DATE EVENT;X;Y;EVENT;VALUES_1;VALUES_2;COMMENTS;
09/11/2016;-14.432376;16.485621;Tick;10;5;2020.11.10 M.Sall ;Junk_Values2
09/11/2016;-14.432468;16.485534;Tick;1;;2020.11.10 M.Sall ;
09/11/2016;-14.42971;16.487067;Tick;2;2;2020.11.10 M.Sall ;Junk_Values2
09/11/2016;-14.432441;16.485593;Tick;1;;2020.11.10 M.Sall ;
09/11/2016;-14.432437;16.485571;Tick;11;4;2020.11.10 M.Sall ;Junk_Values2
09/11/2016;-14.423683;16.48917;Tick;30;;2020.11.10 M.Sall ;
09/11/2016;-14.459494;16.49364;Tick;4;1;2020.11.10 M.Sall ;Junk_Values2
09/11/2016;-14.433513;16.482306;Tick;1;;2020.11.10 M.Sall ;
09/11/2016;-14.436695;16.489361;Tick;4;3;2020.11.10 M.Sall ;Junk_Values2
09/11/2016;-14.436721;16.489425;Tick;1;1;2020.11.10 M.Sall ;Junk_Values3
09/11/2016;-14.436736;16.489434;Tick;3;1;2020.11.10 M.Sall ;Junk_Values4
09/11/2016;-14.42971;16.487067;Tick;2;1;2020.11.10 M.Sall ;Junk_Values5
09/11/2016;-14.426218;16.487501;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.42626;16.487853;Mus musculus;F;+;2020.11.10 M.Sall ;Junk_Values5
09/11/2016;-14.42626;16.487853;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.426385;16.487577;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.426863;16.488028;Mus musculus;F;+;2020.11.10 M.Sall ;Junk_Values5
09/11/2016;-14.42688;16.488057;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2016;-14.427242;16.488073;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2016;-14.427442;16.488006;Mus musculus;M;+;2020.11.10 M.Sall ;Junk_Values5
09/11/2016;-14.42765;16.488353;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2016;-14.42765;16.488353;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.42765;16.488353;Mus musculus;M;+;2020.11.10 M.Sall ;Junk_Values5
09/11/2016;-14.42779;16.4888;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.427568;16.488683;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2016;-14.43322;16.486999;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.433179;16.486842;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.433052;16.486634;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2016;-14.432939;16.486411;Mus musculus;M;+;2020.11.10 M.Sall ;Junk_Values5
09/11/2016;-14.432939;16.486411;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.432939;16.486411;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.433216;16.486366;Mus musculus;F;+;2020.11.10 M.Sall ;Junk_Values5
09/11/2016;-14.433216;16.486366;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.432804;16.485632;Mus musculus;M;;2020.11.10 M.Sall ;
09/11/2016;-14.42765;16.488353;Mus musculus;F;+;2020.11.10 M.Sall ;Junk_Values5
09/11/2016;-14.433052;16.486634;Mus musculus;F;;2020.11.10 M.Sall ;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5301_FatoumataDiallo;F:50;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5302_SambaNdiaye;M:63;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5303_FatmataSamb;F:22;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5304_AminataNdiaye;F:27;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5305_AbdoulayeNdiaye;M:25;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5306_DembaNdiaye;M:20;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5307_BabaNdiaye;M:13;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5308_AliouDia;M:16;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5309_MoussaDia;M:14;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5310_RamataDiallo;F:15;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5311_AminataNdiaye;F:23;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5312_KardiataNdiaye;F:19;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5313_AdamaOumarNdiaye;M:13;Well Data;
09/11/2016;-14.432945147750521;16.48854302386508;Human;5314_OumarNdiaye;M:63;Well Data;
