identifiant personne;X;Y;Début;DESIRE;Nature activité;Lieu;lieu3
101;-14.43107176;16.48547123;01:00;REST;Dormir ; chambre (312);
101;-14.43107176;16.48547123;06:20;STILL;priére; chambre;
101;-14.43107176;16.48547123;07:00;FEED;petit déjeuner ; chambre;
101;-14.42984347;16.48421966;07:30;WANDER;aller à l'école; école élémentaire;
101;-14.43083075;16.485531;15:00;WANDER;alimenter les moutons; cour;
101;-14.43107176;16.48547123;15:30;WANDER;correction+ préparation; chambre;
101;-14.4340578;16.48531049;17:00;WANDER;aller regarder le foot; terrain;
101;-14.43083075;16.485531;19:00;WANDER;alimenter les moutons; cour;
101;-14.43107176;16.48547123;20:00;STILL;regarder la tele; chambre;
101;-14.43107176;16.48547123;22:00;WANDER;praparatif du cour; chambre;
102;-14.43115126;16.48546091;00:00;REST;Dormir ; TC; chambre (310)
102;-14.43150523;16.48448182;05:00;STILL;priére; mosquéee;
102;-14.42371146;16.48603483;06:00;WANDER;amener les motons; village;
102;-14.43116883;16.48555315;10:00;REST;repos; cour;
102;-14.43116883;16.48555315;14:00;FEED;déjeuner ; Cour;
102;-14.42371146;16.48603483;15:00;WANDER;amener les motons; dans la foret;
102;-14.43116883;16.48555315;19:00;REST;repos; cour;
103;-14.43115594;16.48548197;00:00;REST;Dormir ; TC; chambre (311)
103;-14.43107751;16.48552088;04:00;STILL;priere+ wird; chambre;
103;-14.43124017;16.48536812;07:00;WANDER;arroser le jardin; jardin;
103;-14.43107706;16.48561829;07:30;WANDER;Tâche ménagére ; cour;
103;-14.43116883;16.48555315;08:00;FEED;petit dejeuner; cour;
103;-14.43081352;16.48553202;09:00;WANDER;Nourrir les animaux ; Enclos;
103;-14.43280098;16.48626538;10:00;WANDER;aller au marché; marché;
103;-14.43097509;16.48586612;11:00;WANDER;magasin; magasin;
103;-14.43097598;16.48552367;12:00;WANDER;Préparer le déjeuner ; cuisine;
103;-14.43116883;16.48555315;14:00;FEED;déjeuner ; Cour;
103;-14.43116883;16.48555315;15:00;WANDER;priére+ thé ; cour;
103;-14.43116883;16.48555315;17:00;STILL;palabrer; cour;
103;-14.43116883;16.48555315;18:00;REST;Repos ; cour;
103;-14.43116883;16.48555315;20:00;FEED;diner  ; cour;
104;-14.43105982;16.48547518;06:00;STILL;priére+ wird ; chambre;
104;-14.43116883;16.48555315;07:00;FEED;petit dejeuner; cour;
104;-14.41835712;16.48804954;08:00;WANDER;aller au champ; champ;
104;-14.43116883;16.48555315;19:00;REST;repos; cour;
104;-14.43116883;16.48555315;21:00;FEED;de diner ; cour;
104;-14.43114631;16.48544215;22:00;REST;Dormir ; TC; chambre (310)
105;-14.43110137;16.48572648;05:00;STILL;priére+ wird; cour;
105;-14.43117079;16.48566546;07:00;REST;dormir; chambre (308);
105;-14.43105216;16.48571816;07:30;FEED;petit dejeuner; cour;
105;-14.43105216;16.48571816;08:00;REST;Repos ; cour;
105;-14.43105216;16.48571816;14:00;FEED;déjeuner; cour;
105;-14.43105216;16.48571816;15:00;REST;Dormir ; cour;
105;-14.43110137;16.48572648;17:00;STILL;priére; cour;
105;-14.43105216;16.48571816;20:00;FEED;diner ; cour;
105;-14.43117079;16.48566546;21:00;REST;Dormir ; TC; chambre
106;-14.43110137;16.48572648;05:00;STILL;priere; cour;
106;-14.43259074;16.48622149;06:00;WANDER;aller au marché ; marché;
106;-14.43105216;16.48571816;21:00;REST;repos; cour ;
106;-14.43119983;16.48568206;22:00;REST;Dormir ; chambre (306);
107;-14.43089448;16.48578456;05:00;STILL;priére; chambre ;
107;-14.4310568;16.48582347;06:00;WANDER;tache ménagére; cour;
107;-14.43289846;16.4859378;09:00;WANDER;aller au marché ; marché;
107;-14.43097509;16.48586612;09:15;WANDER;entrer dans le magasin; magasin;
107;-14.43110029;16.4858068;10:00;WANDER;préparer le dejeuner; cuisine;
107;-14.43105216;16.48571816;14:00;FEED;déjeuner ; Cour;
107;-14.43105216;16.48571816;15:00;WANDER;préparer Thé; cour;
107;-14.43110029;16.4858068;18:00;WANDER;préparer le diner; cour;
107;-14.43089448;16.48578456;23:00;REST;Dormir ; TC; chambre (309)
108;-14.43090221;16.48578583;00:00;REST;Dormir ; TC; chambre
108;-14.43104425;16.48573302;07:00;WANDER;Priére + tâche ménagére; cour  ;
108;-14.43104425;16.48573302;08:00;FEED;petit dejeuner; cour;
108;-14.43286892;16.48629361;08:30;WANDER;aller au marché ; marché;
108;-14.43109643;16.48580807;10:00;WANDER;préparatif dejeuner; cuisine;
108;-14.43109643;16.48580807;11:00;WANDER;préparer le dejeuner; cuisine;
108;-14.43104425;16.48573302;14:00;FEED;déjeuner ; Cour;
108;-14.43104425;16.48573302;14:30;WANDER;préparer le thé; cour;
108;-14.43122054;16.4857063;15:00;REST;Dormir ; chambre (307);
108;-14.43109643;16.48580807;17:00;WANDER;préparer le diner ; Cuisine;
108;-14.43104425;16.48573302;20:00;FEED;diner ; cour;
108;-14.43104425;16.48573302;21:00;STILL;palabrer; cour;
109;-14.43105755;16.48581386;06:00;WANDER;priere+ tache ménagére; cour;
109;-14.43104425;16.48573302;08:00;FEED;petit dejeuner; cour;
109;-14.43264442;16.48630578;08:30;WANDER;aller au marché ; marché;
109;-14.43097509;16.48586612;10:00;WANDER;magasin; magasin;
109;-14.43109643;16.48580807;10:15;WANDER;préparatif dejeuner; cuisine (303);
109;-14.43109643;16.48580807;12:00;WANDER;preparer le repas; cuisine (303);
109;-14.43104425;16.48573302;14:00;FEED;déjeuner; cour;
109;-14.43092228;16.48587472;15:00;REST;Dormir; chambre (305);
109;-14.43109643;16.48580807;17:00;WANDER;préparer le diner; cuisine (303);
109;-14.43104425;16.48573302;19:00;FEED;diner ; cour;
109;-14.43104425;16.48573302;21:00;STILL;palabrer; cour ;
109;-14.43092228;16.48587472;23:00;REST;Dormir ; TC; chambre
110;-14.43100537;16.48578607;06:00;STILL;priére; cour;
110;-14.41835712;16.48804954;07:00;WANDER;Aller au champ ; Champ;
110;-14.43104425;16.48573302;10:00;REST;Repos ; cour;
110;-14.43104425;16.48573302;14:00;FEED;déjeuner ; Cour;
110;-14.41835712;16.48804954;15:00;WANDER;Aller au champ ; Champ;
110;-14.43104425;16.48573302;17:00;REST;Repos ; cour;
110;-14.43100116;16.48584489;20:00;STILL;regarder la télé; salon;
110;-14.43093577;16.48584998;22:00;REST;Dormir ; TC; chambre
