ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
0101;-14.431071763938716;16.485471230879433;01:00;REST;Dormir;chambre (312)
0101;-14.431071763938716;16.485471230879433;06:20;STILL;priére;chambre
0101;-14.431071763938716;16.485471230879433;07:00;FEED;petit déjeuner;chambre
0101;233;0;07:30;STILL;aller à l'école;School
0101;-14.430830745695793;16.48553100051038;13:45;FEED;Déjeuner;Cour
0101;-14.430830745695793;16.48553100051038;15:00;WANDER;alimenter les moutons;cour
0101;-14.431071763938716;16.485471230879433;15:30;WANDER;correction+ préparation;chambre
0101;-14.434057795048796;16.48531049010611;17:00;WANDER;aller regarder le foot;terrain
0101;-14.430830745695793;16.48553100051038;19:00;WANDER;alimenter les moutons;cour
0101;-14.431071763938716;16.485471230879433;19:30;STILL;regarder la tele;chambre
0101;-14.431071763938716;16.485471230879433;22:00;WANDER;praparatif du cour;chambre
0102;-14.431151257873253;16.485460908574794;00:00;REST;Dormir;chambre (310)
0102;65;11;05:00;STILL;priére;Mosquée
0102;-14.423711456540108;16.486034831790704;06:00;WANDER;amener les motons;village
0102;-14.4311688257899;16.485553152923256;10:00;REST;repos;cour
0102;-14.4311688257899;16.485553152923256;14:00;FEED;déjeuner;Cour
0102;-14.423711456540108;16.486034831790704;15:00;WANDER;amener les motons;dans la foret
0102;-14.4311688257899;16.485553152923256;19:00;REST;repos;cour
0103;-14.431155942986623;16.485481966010624;00:00;REST;Dormir;chambre (311)
0103;-14.431077505768396;16.485520883986172;04:00;STILL;priere+ wird;chambre
0103;-14.431240169320423;16.48536811786454;07:00;WANDER;arroser le jardin;jardin
0103;-14.43107705648133;16.485618288970777;07:30;WANDER;Tâche ménagére;cour
0103;-14.4311688257899;16.485553152923256;08:00;FEED;petit dejeuner;cour
0103;-14.430813521279871;16.48553202284814;09:00;WANDER;Nourrir les animaux;Enclos
0103;-14.432800975242046;16.486265383234127;10:00;WANDER;aller au marché;marché
0103;-14.430975090038723;16.485866120596842;11:00;WANDER;magasin;magasin
0103;-14.430975980462117;16.48552367204553;11:30;WANDER;Préparer le déjeuner;cuisine
0103;-14.4311688257899;16.485553152923256;14:00;FEED;déjeuner;Cour
0103;-14.4311688257899;16.485553152923256;15:00;WANDER;priére+ thé;cour
0103;-14.4311688257899;16.485553152923256;17:00;STILL;palabrer;cour
0103;-14.4311688257899;16.485553152923256;18:00;REST;Repos;cour
0103;-14.4311688257899;16.485553152923256;20:00;FEED;diner;cour
0104;-14.431059824955856;16.485475179505237;06:00;STILL;priére+ wird;chambre
0104;-14.4311688257899;16.485553152923256;07:00;FEED;petit dejeuner;cour
0104;233;186;08:00;STILL;aller au champ;Champ
0104;-14.4311688257899;16.485553152923256;19:00;REST;repos;cour
0104;-14.4311688257899;16.485553152923256;21:00;FEED;diner;cour
0104;-14.431146310395558;16.485442154557898;22:00;REST;Dormir;chambre (310)
0105;-14.431101371637286;16.485726481931895;05:00;STILL;priére+ wird;cour
0105;-14.431170789574866;16.485665458609084;07:00;REST;dormir;chambre (308)
0105;-14.431052164188532;16.485718155429925;07:30;FEED;petit dejeuner;cour
0105;-14.431052164188532;16.485718155429925;08:00;REST;Repos;cour
0105;-14.431052164188532;16.485718155429925;14:00;FEED;déjeuner;cour
0105;-14.431052164188532;16.485718155429925;15:00;REST;Dormir;cour
