H1401;-14.432772800717128;16.485040959149963;08:00;WANDER;Aller travailler;atelier(340)
H1601;-14.4318328990977;16.485666304121185;07:00;REST;Dormir;chambre
H1401;-14.432543471854956;16.485184988503033;05:00;STILL;priére;chambre (342)
H6208;-14.432292185296898;16.489326922271918;12:00;REST;Repos;cour
H6208;-14.432292185296898;16.489326922271918;21:00;REST;Repos;cour
H6209;-14.432292185296898;16.489326922271918;12:00;REST;Repos;cour
H6209;-14.432292185296898;16.489326922271918;19:00;REST;Repos;cour
H6209;-14.432292185296898;16.489326922271918;21:00;REST;Repos;cour
H3403;-14.432565478992757;16.486629588455155;10:00;REST;repos + palabrer;cour 408
H2804;-14.433497758932965;16.48546192505663;10:00;WANDER;aller jouer;maison 27
H6208;-14.432413647035496;16.489196322951685;10:00;WANDER;Jouer au ballon;à coté de la maison familliale 
H6208;-14.432787371997792;16.489368231823324;15:00;WANDER;Jouer au ballon;à coté de la maison familliale 
H6209;-14.432413647035496;16.489196322951685;10:00;WANDER;Jouer au ballon;à coté de la maison familliale 
H6209;-14.432787371997792;16.489368231823324;15:00;WANDER;Jouer au ballon;à coté de la maison familliale 
H2004;-14.429833549765895;16.48718805237145;22:00;REST;Dormir;a l'étage
H2005;-14.429833549765895;16.48718805237145;22:00;REST;Dormir;a l'étage
H1007;-14.431823607890877;16.484704440583798;07:30;WANDER;aller au travail;atelier
H1007;-14.431823607890877;16.484704440583798;16:00;WANDER;revenir du travail;atelier
H1402;-14.432772800717128;16.485040959149963;08:00;WANDER;aller à l'atelier;atelier
H1407;-14.432659519896664;16.485436038022026;10:00;WANDER;atelier;atelier
H1408;-14.432659519896664;16.485436038022026;10:00;WANDER;atelier;atelier
H1504;-14.432141085631882;16.48577976584998;09:00;WANDER;aller au travail;atelier
H1504;-14.432141085631882;16.48577976584998;14:30;WANDER;retourner au travail;atelier
H1504;-14.432141085631882;16.48577976584998;17:00;WANDER;retourner au travail;atelier
H1515;-14.43230201816646;16.485713538287367;09:00;WANDER;aller à l'atelier;atelier
H1515;-14.43230201816646;16.485713538287367;16:00;WANDER;retourner à l'atelier;atelier
H1516;-14.43230201816646;16.485713538287367;17:00;WANDER;revenir à l'atelier;atelier
H3103;-14.4336098364602;16.48671362752584;07:00;WANDER;aller au travail;atelier
H3103;-14.4336098364602;16.48671362752584;17:00;WANDER;retourner à l'atelier;atelier
H3202;-14.433573626641103;16.486851868802386;07:30;WANDER;aller à l'atelier;atelier
H3203;-14.433575638297832;16.48685958459113;08:00;WANDER;aller au travail;atelier
H3204;-14.433575638297832;16.48685958459113;08:30;WANDER;aller à l'atelier;atelier
H3205;-14.433560215596215;16.486852511784797;11:00;WANDER;aller à l'atelier;atelier
H4208;-14.432405283212061;16.4855939428193;10:00;WANDER;aller travailler;atelier
H5106;-14.432366446028634;16.485691962613892;16:00;WANDER;aller au travail;atelier
H7105;-14.433075904188627;16.486734603490152;10:00;FEED;petit dejeuner;atelier
H7105;-14.433075904188627;16.486734603490152;16:00;WANDER;venir à l'atelier;atelier
H1103;-14.432346329847501;16.484866709136774;07:00;STILL;priére;atelier (344)
H1103;-14.432346329847501;16.484866709136774;08:00;FEED;petit dej;atelier (344)
H1103;-14.432346329847501;16.484866709136774;09:00;WANDER;aller au travail;Atelier (344)
H1104;-14.432346329847501;16.484866709136774;16:00;WANDER;atelier tailleur;atelier (344)
H1105;-14.432346329847501;16.484866709136774;09:30;WANDER;aller au travail;atelier (344)
H1105;-14.432346329847501;16.484866709136774;13:00;REST;repos;atelier (344)
H1105;-14.432346329847501;16.484866709136774;14:00;FEED;dej;atelier (344)
H1105;-14.432346329847501;16.484866709136774;17:00;WANDER;atelier tailleur;atelier (344)
H1503;-14.432141085631882;16.48577976584998;16:00;WANDER;aller à l'atelier;atelier (354)
H1505;-14.432141085631882;16.48577976584998;10:00;WANDER;aller à l'atelier;atelier (354)
H1115;-14.432299391113208;16.484781191580982;09:30;WANDER;aller au travail;atelier (356)
H1604;-14.431986590348476;16.485848742047096;09:00;WANDER;aller au travail;atelier (356)
H1604;-14.424259324383026;16.48827974851953;16:00;WANDER;aller au travail;atelier (356)
H1606;-14.431986590348476;16.485848742047096;12:00;WANDER;aller à l'atelier;atelier (356)
