ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
H0108;-14.43090221;16.48578583;00:00;REST;Dormir;chambre
H0108;-14.43104425;16.48573302;07:00;WANDER;Pri‚re + tƒche m‚nag‚re;cour  
H0108;-14.43104425;16.48573302;08:00;FEED;petit dejeuner;cour
H0108;-14.43286892;16.48629361;08:30;WANDER;aller au march‚;march‚
H0108;-14.43109643;16.48580807;10:00;WANDER;pr‚paratif dejeuner;cuisine
H0108;-14.43109643;16.48580807;11:00;WANDER;pr‚parer le dejeuner;cuisine
H0108;-14.43104425;16.48573302;14:00;FEED;d‚jeuner;Cour
H0108;-14.43104425;16.48573302;14:30;WANDER;pr‚parer le th‚;cour
H0108;-14.43122054;16.4857063;15:00;REST;Dormir;chambre (307)
H0108;-14.43109643;16.48580807;17:00;WANDER;pr‚parer le diner;Cuisine
H0108;-14.43104425;16.48573302;20:00;FEED;diner;cour
H0108;-14.43104425;16.48573302;21:00;STILL;palabrer;cour
H0111;-14.43100537;16.48578607;06:00;WANDER;pri‚re+ pr‚paratif;cour
H0111;233;0;07:40;STILL;aller … l'‚cole;School
H0111;-14.43105755;16.48581386;13:00;WANDER;tache m‚nag‚re;cour
H0111;-14.43104425;16.48573302;14:00;FEED;d‚jeuner;Cour
H0111;-14.43105755;16.48581386;15:00;WANDER;tƒche m‚nag‚re;cour  
H0111;-14.43104425;16.48573302;15:30;REST;Dormir;cour
H0111;-14.43103756;16.48564728;17:00;WANDER;remplir les canaris;cour
H0111;-14.43104425;16.48573302;18:00;REST;repos;cour (302)
H0111;-14.43119959;16.48570824;21:00;REST;Dormir;chambre
H0205;-14.43046472;16.486068;09:00;WANDER;tache m‚nag‚re;cour
H0205;-14.43261784;16.48593247;10:00;WANDER;aller au march‚;march‚
H0205;-14.43055055;16.48597541;11:00;REST;repos;cour
H0205;-14.43055055;16.48597541;14:00;FEED;d‚jeuner;Cour
H0205;-14.43055055;16.48597541;15:00;STILL;palabrer;cour
H0205;-14.43042985;16.4859677;17:00;WANDER;faire le th‚;cour
H0205;-14.43042985;16.4859677;20:00;STILL;regarder la t‚l‚;cour 
H0205;-14.43042985;16.4859677;21:00;FEED;Diner;cour
H0205;-14.43038157;16.48597284;22:00;REST;Dormir;chambre
H0307;233;137;08:00;STILL;pri‚re+ acheter du pain;Boulangerie
H0307;-14.43014822;16.48597284;08:20;FEED;petit dejeuner;cour
H0307;-14.43014822;16.48597284;08:40;WANDER;tache m‚nag‚re;cour
H0307;-14.43020288;16.48582229;09:00;REST;repos+ regarder la t‚l‚;chambre
H0307;-14.43014822;16.48597284;13:00;FEED;d‚jeuner;cour
H0307;-14.43010993;16.48605268;13:30;WANDER;laver les boles;cuisine
H0307;-14.42964547;16.48711659;14:00;WANDER;aller jour;village
H0307;-14.43014822;16.48597284;17:00;STILL;Palabrer;cour
H0307;-14.43014822;16.48597284;20:00;FEED;diner;cour
H0307;-14.43020288;16.48582229;20:30;REST;dormir;chambre
H0308;-14.43014822;16.48597284;06:00;WANDER;Pri‚re + tƒche m‚nag‚re;cour  
H0308;-14.43014822;16.48597284;08:00;FEED;petit dejeuner;cour
H0308;-14.43014822;16.48597284;08:40;STILL;palabrer;cour
H0308;-14.43017103;16.485764;10:00;REST;repos;chambre
H0308;-14.43014822;16.48597284;13:00;FEED;d‚jeuner;cour
H0308;-14.43014822;16.48597284;13:30;WANDER;tƒche m‚nag‚re;cour  
H0308;-14.43017103;16.485764;14:00;REST;Dormir;chambre
H0308;-14.43014822;16.48597284;17:00;STILL;regarder la t‚l‚;cour 
H0308;-14.43014822;16.48597284;19:00;STILL;palabrer;cour
H0308;-14.43014822;16.48597284;21:00;FEED;diner;cour
H0308;-14.43017103;16.485764;22:00;REST;dormir;chambre
H0404;-14.42942379;16.48602338;06:00;STILL;pri‚re;chambre 
H0404;-14.42942379;16.48602338;06:30;REST;dormir;chambre
H0404;-14.42952626;16.4861889;08:00;FEED;petit dejeuner;cour
H0404;-14.43259659;16.48630425;10:00;WANDER;aller au march‚;march‚
H0404;-14.42942635;16.48604551;11:00;WANDER;aller au magasin;magagin 286
H0404;-14.42961276;16.48605773;11:05;WANDER;preparer le dejeuner;cuisine (cour)
H0404;-14.42952626;16.4861889;14:00;FEED;d‚jeuner;cour
H0404;-14.42952626;16.4861889;15:00;FEED;Th‚;cour
H0404;-14.42961276;16.48605773;17:00;WANDER;pr‚parer le diner;cuisine (cour)
H0404;-14.42952626;16.4861889;19:00;REST;repos;cour
H0404;-14.42952626;16.4861889;21:00;STILL;regarder la t‚l‚;cour 
H0404;-14.42942379;16.48602338;23:00;REST;Dormir;chambre 283
H0407;-14.42952626;16.4861889;07:00;WANDER;Pri‚re + tƒche m‚nag‚re;cour  
H0407;-14.42952626;16.4861889;08:00;FEED;petit dejeuner;cour
H0407;-14.43095111;16.48896239;09:00;STILL;Aller … l'‚cole coranique;Gall‚ Baba
H0407;-14.42961276;16.48605773;12:00;WANDER;aider … pr‚parer le dej;cuisine
H0407;-14.42959734;16.48608409;14:00;FEED;d‚jeuner;cour
H0407;-14.42952626;16.4861889;14:30;WANDER;tƒche m‚nag‚re;cour  
H0407;-14.42952626;16.4861889;15:00;REST;Dormir;cour
H0407;-14.42997632;16.48612755;17:00;WANDER;aller jouer;village
H0407;-14.42961276;16.48605773;18:00;FEED;diner;cuisine
H0407;-14.42952626;16.4861889;20:00;FEED;diner;cour
H0407;-14.42952626;16.4861889;22:00;STILL;regarder la t‚l‚;cour 
H0407;-14.42945597;16.48601374;23:00;REST;dormir;chambre
H0408;-14.42953309;16.48599895;00:00;REST;dormir;chambre
H0408;-14.42947542;16.48603881;05:00;STILL;pri‚re;Veranda
H0408;-14.42953309;16.48599895;06:00;REST;Dormir;chambre
H0408;-14.42947542;16.48603881;09:00;FEED;petit d‚jeuner;Veranda
H0408;-14.42952626;16.4861889;09:30;REST;repos;cour
H0408;-14.42952626;16.4861889;14:00;FEED;D‚jeuner;cour
H0408;-14.42952626;16.4861889;14:30;REST;Dormir;cour
H0408;-14.42959734;16.48608409;16:00;REST;repos+ regarder la t‚l‚;Cour
H0508;-14.43053144;16.48720154;07:00;STILL;chercher du pain;cour
H0508;-14.43053144;16.48720154;07:15;FEED;Petit d‚jeuner;cour
H0508;233;0;08:00;STILL;aller … l'‚cole;School
H0508;-14.4299267;16.48557586;13:00;WANDER;tache m‚nag‚re;cour
H0508;-14.4299267;16.48557586;14:00;FEED;d‚jeuner;Cour
H0508;233;0;15:00;STILL;aller … l'‚cole;School
H0508;-14.4299267;16.48557586;18:00;WANDER;tache m‚nag‚re;cour
H0508;-14.42981673;16.48564016;19:00;REST;repos;cour
H0508;-14.42967857;16.48568471;22:00;REST;Dormir;chambre
H1112;-14.43231683;16.4848127;07:00;WANDER;aller travailler;atelier (362)
H1112;-14.42790929;16.48617969;20:00;WANDER;donner … manger au b‚tail;Maison 205
