DATE EVENT;X;Y;EVENT;VALUES_1;VALUES_2;COMMENTS;
09/11/2016;-14.4309022144;16.4857858337311;Human;H0108_Aminata_D.;F:13;;
09/11/2016;-14.4311995893;16.4857082392213;Human;H0111_Rougui_S.;F:13;;
09/11/2016;-14.4303815746;16.4859728406063;Human;H0205_Awa_T.;F:13;;
09/11/2016;-14.4302028787;16.4858222933464;Human;H0307_Coumba_B.;F:13;;
09/11/2016;-14.4301710330;16.4857639962552;Human;H0308_Fatoumata_B.;F:13;;
09/11/2016;-14.4294237856;16.4860233822770;Human;H0404_Fadouma_S.;F:13;;
09/11/2016;-14.4294559721;16.4860137375162;Human;H0407_Aïssatou_S.;F:13;;
09/11/2016;-14.4296785667;16.4856847116161;Human;H0508_Kadiata_G.;F:13;;
09/11/2016;-14.4315121627;16.4851464091912;Human;H1304_Aïssata_S.;F:13;;
09/11/2016;-14.4246403433;16.4870380708897;Human;H13801_Awa_D.;F:13;;
09/11/2016;-14.4321953877;16.4854129838040;Human;H1501_Aïcha_B.;F:13;;
09/11/2016;-14.4237370174;16.4891643537077;Human;H15303_Mame_W.;F:13;;
09/11/2016;-14.4298858528;16.4871751927451;Human;H2003_DieynaBa_T.;F:13;;
09/11/2016;-14.4298643952;16.4872394908679;Human;H2004_Sawdatou_T.;F:13;;
09/11/2016;-14.4297530835;16.4870800314843;Human;H2005_Aïssatou_T.;F:13;;
09/11/2016;-14.4295810633;16.4873381520769;Human;H2105_Aïssata_D.;F:13;;
09/11/2016;-14.4336942307;16.4853635480176;Human;H2708_Fatimata_M.;F:13;;
09/11/2016;-14.4338799737;16.4859499515977;Human;H2804_Faty_S.;F:13;;
09/11/2016;-14.4338504694;16.4859685981735;Human;H2805_Leyla_M.;F:13;;
09/11/2016;-14.4338109068;16.4859261611363;Human;H2806_Farmata_M.;F:13;;
09/11/2016;-14.4338384948;16.4862956882109;Human;H3110_Boye_D.;F:13;;
09/11/2016;-14.4340775743;16.4869575095821;Human;H3302_Aïssata_N.;F:13;;
09/11/2016;-14.4341084197;16.4869960885017;Human;H3304_Dieynaba_S.;F:13;;
09/11/2016;-14.4341446295;16.4870295235591;Human;H3305_Dieynaba_N.;F:13;;
09/11/2016;-14.4292179218;16.4895144319076;Human;H39502_Coumba_S.;F:13;;
09/11/2016;-14.4292716967;16.4876994048690;Human;H4110_Ouley_S.;F:13;;
09/11/2016;-14.4295161363;16.4889826707635;Human;H41306_Athia_B.;F:13;;
09/11/2016;-14.4300234922;16.4881068633560;Human;H4515_Aïssata_B.;F:13;;
09/11/2016;-14.4300413189;16.4880481671695;Human;H4517_Maïrame_B.;F:13;;
09/11/2016;-14.4300504263;16.4879754861858;Human;H4527_Fama_B.;F:13;;
09/11/2016;-14.4300535730;16.4879418923665;Human;H4528_Mariame_B.;F:13;;
09/11/2016;-14.4311056911;16.4882024607076;Human;H4711_Binta_D.;F:13;;
09/11/2016;-14.4323522195;16.4883467140397;Human;H4807_Fama_S.;F:13;;
09/11/2016;-14.4323522195;16.4883467140397;Human;H4808_Maïrame_S.;F:13;;
09/11/2016;-14.4323522195;16.4883467140397;Human;H4809_DieynaBa_N.;F:13;;
09/11/2016;-14.4326260172;16.4879254606360;Human;H4903_Kadia_T.;F:13;;
