a;b;c;d;e;f;g;
H8103;490;75;05:00;WANDER;A;490-75;
H8103;25;216;07:00;WANDER;B;25-216;
H8103;48;220;08:00;WANDER;C;48-220;
H8103;283;463;09:00;WANDER;D;283-463;
H8103;496;121;11:00;WANDER;E;496-121;
H8103;5;211;11:15;WANDER;F;5-211;
H8103;56;500;15:00;WANDER;G;56-500;
H8103;328;321;17:00;WANDER;H;445-12;
H8103;525;518;19:00;WANDER;I;525-518;
H8103;445;12;21:00;WANDER;J;445-12;
H8103;56;500;23:00;WANDER;K;56-500;
H8103;445;12;01:00;WANDER;L;445-12;
H8103;56;500;03:00;WANDER;M;56-500;
H0101;-14.43107176;16.48547123;01:00;REST;Dormir;chambre (312);NONE jusqu'à 10h
H0101;-14.43107176;16.48547123;06:20;STILL;prière;chambre;
H0101;-14.43107176;16.48547123;07:00;FEED;petit déjeuner;chambre;
H0101;445;0;07:30;STILL;aller à l'école;School;
H0101;-14.43083075;16.485531;13:45;FEED;Déjeuner;Cour;
H0101;-14.43083075;16.485531;15:00;STILL;alimenter les moutons;cour;
H0101;-14.43107176;16.48547123;15:30;STILL;correction+ préparation;chambre;
H0101;-14.4340578;16.48531049;17:00;STILL;aller regarder le foot;terrain;
H0101;-14.43083075;16.485531;19:00;STILL;alimenter les moutons;cour;
H0101;-14.43107176;16.48547123;19:30;STILL;regarder la tele;chambre;
H0101;-14.43107176;16.48547123;22:00;STILL;praparatif du cour;chambre;
H0102;-14.43115126;16.48546091;00:00;REST;Dormir;chambre (310);
H0102;484;47;05:00;STILL;prière;Mosquée;
H0102;-14.42371146;16.48603483;06:00;STILL;amener les moutons;village;
H0102;-14.43116883;16.48555315;10:00;REST;repos;cour;
H0102;-14.43116883;16.48555315;14:00;FEED;déjeuner;Cour;
H0102;-14.42371146;16.48603483;15:00;STILL;amener les moutons;dans la foret;
H0102;-14.43116883;16.48555315;19:00;REST;repos;cour;
