DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
01/01/1910;0;0;bioClimate;0;;1;;;JLF
01/01/1910;0;1;bioClimate;0;;90;;;JLF
01/01/1910;0;2;bioClimate;0;;179;;;JLF
01/01/1910;0;3;bioClimate;0;;268;;;JLF
01/01/1910;0;4;bioClimate;0;;357;;;JLF
01/01/1910;0;5;bioClimate;0;;446;;;JLF
01/01/1910;0;6;bioClimate;0;;535;;;JLF
01/01/1910;0;7;bioClimate;0;;624;;;JLF
01/01/1910;0;8;bioClimate;0;;713;;;JLF
01/01/1910;0;9;bioClimate;0;;802;;;JLF
01/01/1910;0;10;bioClimate;0;;891;;;JLF
01/01/1910;0;11;bioClimate;0;;980;;;JLF
01/01/1910;0;12;bioClimate;0;;1069;;;JLF
01/01/1910;0;13;bioClimate;0;;1158;;;JLF
01/01/1910;0;14;bioClimate;0;;1247;;;JLF
01/01/1910;0;15;bioClimate;0;;1336;;;JLF
01/01/1910;0;16;bioClimate;0;;1425;;;JLF
01/01/1910;0;17;bioClimate;0;;1514;;;JLF
01/01/1910;0;18;bioClimate;0;;1603;;;JLF
01/01/1910;0;19;bioClimate;0;;1692;;;JLF
01/01/1910;0;20;bioClimate;0;;1781;;;JLF
01/01/1910;0;21;bioClimate;0;;1870;;;JLF
01/01/1910;0;22;bioClimate;0;;1959;;;JLF
01/01/1910;0;23;bioClimate;0;;2048;;;JLF
01/01/1910;0;24;bioClimate;0;;2137;;;JLF
01/01/1910;0;25;bioClimate;0;;2226;;;JLF
01/01/1910;0;26;bioClimate;0;;2315;;;JLF
01/01/1910;0;27;bioClimate;0;;2404;;;JLF
01/01/1910;0;28;bioClimate;0;;2493;;;JLF
01/01/1910;0;29;bioClimate;0;;2582;;;JLF
01/01/1910;0;30;bioClimate;0;;2671;;;JLF
01/01/1910;0;31;bioClimate;0;;2760;;;JLF
01/01/1910;0;32;bioClimate;0;;2849;;;JLF
01/01/1910;0;33;bioClimate;0;;2938;;;JLF
01/01/1910;0;34;bioClimate;4;;3027;;;JLF
01/01/1910;0;35;bioClimate;1;;3116;;;JLF
01/01/1910;0;36;bioClimate;0;;3205;;;JLF
01/01/1910;0;37;bioClimate;0;;3294;;;JLF
01/01/1910;0;38;bioClimate;0;;3383;;;JLF
01/01/1910;0;39;bioClimate;0;;3472;;;JLF
01/01/1910;0;40;bioClimate;0;;3561;;;JLF
01/01/1910;0;41;bioClimate;0;;3650;;;JLF
01/01/1910;0;42;bioClimate;0;;3739;;;JLF
01/01/1910;0;43;bioClimate;0;;3828;;;JLF
01/01/1910;0;44;bioClimate;0;;3917;;;JLF
01/01/1910;0;45;bioClimate;0;;4006;;;JLF
01/01/1910;0;46;bioClimate;0;;4095;;;JLF
01/01/1910;0;47;bioClimate;0;;4184;;;JLF
01/01/1910;0;48;bioClimate;0;;4273;;;JLF
01/01/1910;0;49;bioClimate;0;;4362;;;JLF
01/01/1910;0;50;bioClimate;0;;4451;;;JLF
01/01/1910;0;51;bioClimate;0;;4540;;;JLF
01/01/1910;0;52;bioClimate;0;;4629;;;JLF
01/01/1910;0;53;bioClimate;0;;4718;;;JLF
01/01/1910;0;54;bioClimate;0;;4807;;;JLF
01/01/1910;0;55;bioClimate;0;;4896;;;JLF
01/01/1910;0;56;bioClimate;0;;4985;;;JLF
01/01/1910;0;57;bioClimate;0;;5074;;;JLF
01/01/1910;0;58;bioClimate;0;;5163;;;JLF
01/01/1910;0;59;bioClimate;0;;5252;;;JLF
01/01/1910;0;60;bioClimate;0;;5341;;;JLF
01/01/1910;0;61;bioClimate;0;;5430;;;JLF
01/01/1910;0;62;bioClimate;0;;5519;;;JLF
01/01/1910;1;0;bioClimate;0;;2;;;JLF
01/01/1910;1;1;bioClimate;0;;91;;;JLF
01/01/1910;1;2;bioClimate;0;;180;;;JLF
01/01/1910;1;3;bioClimate;0;;269;;;JLF
01/01/1910;1;4;bioClimate;0;;358;;;JLF
01/01/1910;1;5;bioClimate;0;;447;;;JLF
01/01/1910;1;6;bioClimate;0;;536;;;JLF
01/01/1910;1;7;bioClimate;0;;625;;;JLF
01/01/1910;1;8;bioClimate;0;;714;;;JLF
01/01/1910;1;9;bioClimate;0;;803;;;JLF
01/01/1910;1;10;bioClimate;0;;892;;;JLF
01/01/1910;1;11;bioClimate;0;;981;;;JLF
01/01/1910;1;12;bioClimate;0;;1070;;;JLF
01/01/1910;1;13;bioClimate;0;;1159;;;JLF
01/01/1910;1;14;bioClimate;0;;1248;;;JLF
01/01/1910;1;15;bioClimate;0;;1337;;;JLF
01/01/1910;1;16;bioClimate;0;;1426;;;JLF
01/01/1910;1;17;bioClimate;0;;1515;;;JLF
01/01/1910;1;18;bioClimate;0;;1604;;;JLF
01/01/1910;1;19;bioClimate;0;;1693;;;JLF
01/01/1910;1;20;bioClimate;0;;1782;;;JLF
01/01/1910;1;21;bioClimate;0;;1871;;;JLF
01/01/1910;1;22;bioClimate;0;;1960;;;JLF
01/01/1910;1;23;bioClimate;0;;2049;;;JLF
01/01/1910;1;24;bioClimate;0;;2138;;;JLF
01/01/1910;1;25;bioClimate;0;;2227;;;JLF
01/01/1910;1;26;bioClimate;0;;2316;;;JLF
01/01/1910;1;27;bioClimate;0;;2405;;;JLF
01/01/1910;1;28;bioClimate;0;;2494;;;JLF
01/01/1910;1;29;bioClimate;0;;2583;;;JLF
01/01/1910;1;30;bioClimate;0;;2672;;;JLF
01/01/1910;1;31;bioClimate;0;;2761;;;JLF
01/01/1910;1;32;bioClimate;0;;2850;;;JLF
01/01/1910;1;33;bioClimate;0;;2939;;;JLF
01/01/1910;1;34;bioClimate;4;;3028;;;JLF
01/01/1910;1;35;bioClimate;1;;3117;;;JLF
01/01/1910;1;36;bioClimate;0;;3206;;;JLF
01/01/1910;1;37;bioClimate;0;;3295;;;JLF
01/01/1910;1;38;bioClimate;0;;3384;;;JLF
01/01/1910;1;39;bioClimate;0;;3473;;;JLF
01/01/1910;1;40;bioClimate;0;;3562;;;JLF
01/01/1910;1;41;bioClimate;0;;3651;;;JLF
01/01/1910;1;42;bioClimate;0;;3740;;;JLF
01/01/1910;1;43;bioClimate;0;;3829;;;JLF
01/01/1910;1;44;bioClimate;0;;3918;;;JLF
01/01/1910;1;45;bioClimate;0;;4007;;;JLF
01/01/1910;1;46;bioClimate;0;;4096;;;JLF
01/01/1910;1;47;bioClimate;0;;4185;;;JLF
01/01/1910;1;48;bioClimate;0;;4274;;;JLF
01/01/1910;1;49;bioClimate;0;;4363;;;JLF
01/01/1910;1;50;bioClimate;0;;4452;;;JLF
01/01/1910;1;51;bioClimate;0;;4541;;;JLF
01/01/1910;1;52;bioClimate;0;;4630;;;JLF
01/01/1910;1;53;bioClimate;0;;4719;;;JLF
01/01/1910;1;54;bioClimate;0;;4808;;;JLF
01/01/1910;1;55;bioClimate;0;;4897;;;JLF
01/01/1910;1;56;bioClimate;0;;4986;;;JLF
01/01/1910;1;57;bioClimate;0;;5075;;;JLF
01/01/1910;1;58;bioClimate;0;;5164;;;JLF
01/01/1910;1;59;bioClimate;0;;5253;;;JLF
01/01/1910;1;60;bioClimate;0;;5342;;;JLF
01/01/1910;1;61;bioClimate;0;;5431;;;JLF
01/01/1910;1;62;bioClimate;0;;5520;;;JLF
01/01/1910;2;0;bioClimate;0;;3;;;JLF
01/01/1910;2;1;bioClimate;0;;92;;;JLF
01/01/1910;2;2;bioClimate;0;;181;;;JLF
01/01/1910;2;3;bioClimate;0;;270;;;JLF
01/01/1910;2;4;bioClimate;0;;359;;;JLF
01/01/1910;2;5;bioClimate;0;;448;;;JLF
