DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;COMMENT
01/01/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/02/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/03/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/04/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/05/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/06/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/07/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/08/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/09/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/10/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/11/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/12/1999;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/01/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/02/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/03/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/04/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/05/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/06/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/07/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/08/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/09/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/10/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/11/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/12/2000;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/01/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/02/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/03/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/04/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/05/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/06/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/07/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/08/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/09/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/10/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/11/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/12/2001;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/01/2002;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/02/2002;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/03/2002;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/04/2002;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/05/2002;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
01/06/2002;0;0;rain;;;2015.10.29 M.Sall & J.Le Fur
