DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
26/11/1983;154;129;city;Ambidedi;;;;13/05/2015;LG,JMD,JLF
26/11/1983;64;60;city;Badi Nieriko;;21235;héloise;19/07/2014;JLF
26/11/1983;116;147;city;Bakel;;51737;*;19/07/2014;JLF
26/11/1983;75;96;city;Bala;;33846;*;19/07/2014;JLF
26/11/1983;128;137;city;Ballou;;48249;jaune;19/07/2014;JLF
26/11/1983;128;26;city;Bantako;;9399;*;19/07/2014;JLF
26/11/1983;147;29;city;Bembou;;;;13/05/2015;LG,JMD,JLF
26/11/1983;114;61;city;Boutougoufara;;;;13/05/2015;LG,JMD,JLF
26/11/1983;135;54;city;Bransan;;;;13/05/2015;LG,JMD,JLF
26/11/1983;27;103;city;Daoudy;;;;13/05/2015;LG,JMD,JLF
26/11/1983;73;53;city;Dar Salam;;;;13/05/2015;LG,JMD,JLF
26/11/1983;69;57;city;Dialacoto;;29263;*;19/07/2014;JLF
26/11/1983;103;78;city;Dianke Makha;;27225;héloise;19/07/2014;JLF
26/11/1983;123;94;city;Dide Gassama;;33194;heloise;19/07/2014;JLF
26/11/1983;79;51;city;Dienou Diala;;;;13/05/2015;LG,JMD,JLF
26/11/1983;102;90;city;Dieylani;;;;13/05/2015;LG,JMD,JLF
26/11/1983;107;101;city;Doulouyabe;;35628;heloise;19/07/2014;JLF
26/11/1983;140;6;city;Fongolimbi;;2411;*;19/07/2014;JLF
26/11/1983;101;106;city;Goudiry;;37372;*;19/07/2014;JLF
26/11/1983;44;65;city;Gouloumbou;;22965;ON;19/07/2014;JLF
26/11/1983;75;78;city;Goumbayel;;;;13/05/2015;LG,JMD,JLF
26/11/1983;115;142;city;Gouniang;;;;13/05/2015;LG,JMD,JLF
26/11/1983;173;121;city;Kayes;;;;13/05/2015;LG,JMD,JLF
26/11/1983;131;13;city;Kedougou;;4852;*;19/07/2014;JLF
26/11/1983;142;47;city;Khossanto;;;;13/05/2015;LG,JMD,JLF
26/11/1983;128;121;city;Kidira;;42650;*;19/07/2014;JLF
26/11/1983;59;89;city;Kothiary;;31380;*;19/07/2014;JLF
26/11/1983;0;94;city;Koumpentoum;;;;13/05/2015;LG,JMD,JLF
