DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;
01/01/1909;294;29;city;Bakel;;;;09/12/2015;JLF;;
01/01/1909;113;128;city;Dagana;;;;09/12/2015;JLF;;
01/01/1909;113;61;city;Dahra;;;;09/12/2015;JLF;;
01/01/1909;4;28;city;Dakar;;;;09/12/2015;JLF;;
01/01/1909;73;22;city;Diourbel;;;;09/12/2015;JLF;;
01/01/1909;45;9;city;Fatick;;;;09/12/2015;JLF;;
01/01/1909;61;5;city;Kaolack;;;;09/12/2015;JLF;;
01/01/1909;61;63;city;Kebemer;;;;09/12/2015;JLF;;
01/01/1909;299;9;city;Kidira;;;;09/12/2015;JLF;;
01/01/1909;135;64;city;Linguere;;;;09/12/2015;JLF;;
01/01/1909;71;78;city;Louga;;;;09/12/2015;JLF;;
01/01/1909;240;79;city;Matam;;;;09/12/2015;JLF;;
01/01/1909;31;9;city;Mbour;;;;09/12/2015;JLF;;
01/01/1909;7;28;city;Pikine;;;;09/12/2015;JLF;;
01/01/1909;144;136;city;Podor;;;;09/12/2015;JLF;;
01/01/1909;103;125;city;Richard-Toll;;;;09/12/2015;JLF;;
01/01/1909;57;100;city;Saint-Louis;;;;09/12/2015;JLF;;
01/01/1909;34;30;city;Thies;;;;09/12/2015;JLF;;
01/01/1909;40;39;city;Tivaouane;;;;09/12/2015;JLF;;
01/01/1909;91;30;city;Touba-Mbacke;;;;09/12/2015;JLF;;
02/01/1909;45;9;population;Fatick;0;;source : atlas jeune afrique sénégal 2000;07/07/2015;PAM;;
02/01/1909;91;30;population;Touba-Mbacke;0;;taille de pop = 1 car cette ville ne devrrait pas exister à cette date;03/06/2015;PAM;;
01/01/1910;294;29;population;Bakel;1497;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;113;128;population;Dagana;1497;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;4;28;population;Dakar;284830;;à partir de grille gravitaire + interpolation (cf. Chrono);20/08/2014;J. Le Fur;;
01/01/1910;73;22;population;Diourbel;2654;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;61;5;population;Kaolack;1790;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;135;64;population;Linguere;2618;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;71;78;population;Louga;19500;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;240;79;population;Matam;2595;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;31;9;population;Mbour;20000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;144;136;population;Podor;1988;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;103;125;population;Richard-Toll;473;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;57;100;population;Saint-Louis;21000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;34;30;population;Thies;3000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1910;40;39;population;Tivaouane;3303;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;294;29;population;Bakel;1830;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;113;128;population;Dagana;1830;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;4;28;population;Dakar;302367;;à partir de grille gravitaire + interpolation (cf. Chrono);20/08/2014;J. Le Fur;;
01/01/1920;73;22;population;Diourbel;3000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;61;5;population;Kaolack;2500;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;135;64;population;Linguere;3149;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;71;78;population;Louga;32000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;240;79;population;Matam;4251;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;31;9;population;Mbour;28000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;144;136;population;Podor;2421;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;103;125;population;Richard-Toll;768;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;57;100;population;Saint-Louis;19000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;34;30;population;Thies;4000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1920;40;39;population;Tivaouane;4410;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1930;294;29;population;Bakel;2237;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1930;113;128;population;Dagana;2237;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1930;4;28;population;Dakar;320984;;à partir de grille gravitaire + interpolation (cf. Chrono);20/08/2014;J. Le Fur;;
01/01/1930;73;22;population;Diourbel;10000;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1930;61;5;population;Kaolack;7333;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
01/01/1930;135;64;population;Linguere;3789;;à partir de grille gravitaire;20/08/2014;J. Le Fur;;
