DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
01/01/1909;294;29;city;Bakel;;;;09/12/2015;JLF
01/01/1909;113;128;city;Dagana;;;;09/12/2015;JLF
01/01/1909;113;61;city;Dahra;;;;09/12/2015;JLF
01/01/1909;4;28;city;Dakar;;;;09/12/2015;JLF
01/01/1909;45;9;city;Fatick;;;;09/12/2015;JLF
01/01/1909;61;5;city;Kaolack;;;;09/12/2015;JLF
01/01/1909;61;63;city;Kebemer;;;;09/12/2015;JLF
01/01/1909;299;9;city;Kidira;;;;09/12/2015;JLF
01/01/1909;135;64;city;Linguere;;;;09/12/2015;JLF
01/01/1909;71;78;city;Louga;;;;09/12/2015;JLF
01/01/1909;240;79;city;Matam;;;;09/12/2015;JLF
01/01/1909;31;9;city;Mbour;;41682;;09/12/2015;JLF
01/01/1909;7;28;city;Pikine;;;;09/12/2015;JLF
01/01/1909;144;136;city;Podor;;;;09/12/2015;JLF
01/01/1909;103;125;city;Richard-Toll;;;;09/12/2015;JLF
01/01/1909;57;100;city;Saint-Louis;;;;09/12/2015;JLF
01/01/1909;34;30;city;Thies;;49035;;09/12/2015;JLF
01/01/1909;91;30;city;Touba-Mbacke;;;;09/12/2015;JLF
02/01/1909;9;30;river;;;49010;;18/07/2014;JLF
02/01/1909;9;31;river;;;49360;;18/07/2014;JLF
02/01/1909;10;30;river;;;49011;;18/07/2014;JLF
02/01/1909;10;31;river;;;49361;;18/07/2014;JLF
02/01/1909;11;31;river;;;49362;;18/07/2014;JLF
02/01/1909;12;31;river;;;49363;;18/07/2014;JLF
02/01/1909;12;32;river;;;49713;;18/07/2014;JLF
02/01/1909;13;31;river;;;49364;;18/07/2014;JLF
02/01/1909;13;32;river;;;49714;;18/07/2014;JLF
02/01/1909;15;32;river;;;49716;;18/07/2014;JLF
02/01/1909;15;33;river;;;50066;;18/07/2014;JLF
02/01/1909;16;32;river;;;49717;;18/07/2014;JLF
02/01/1909;16;33;river;;;50067;;18/07/2014;JLF
02/01/1909;17;32;river;;;49718;;18/07/2014;JLF
02/01/1909;17;33;river;;;50068;;18/07/2014;JLF
02/01/1909;17;34;river;;;50418;;18/07/2014;JLF
02/01/1909;18;33;river;;;50069;;18/07/2014;JLF
02/01/1909;18;34;river;;;50419;;18/07/2014;JLF
02/01/1909;24;37;river;;;51475;;18/07/2014;JLF
02/01/1909;24;38;river;;;51825;;18/07/2014;JLF
02/01/1909;25;35;river;;;50776;;18/07/2014;JLF
02/01/1909;25;36;river;;;51126;;18/07/2014;JLF
02/01/1909;25;37;river;;;51476;;18/07/2014;JLF
02/01/1909;25;38;river;;;51826;;18/07/2014;JLF
02/01/1909;26;35;river;;;50777;;18/07/2014;JLF
02/01/1909;26;36;river;;;51127;;18/07/2014;JLF
02/01/1909;26;37;river;;;51477;;18/07/2014;JLF
02/01/1909;34;50;river;;;56035;;18/07/2014;JLF
02/01/1909;34;51;river;;;56385;;18/07/2014;JLF
02/01/1909;35;50;river;;;56036;;18/07/2014;JLF
02/01/1909;37;53;river;;;57088;;18/07/2014;JLF
02/01/1909;38;55;river;;;57789;;18/07/2014;JLF
02/01/1909;40;57;river;;;58491;;18/07/2014;JLF
02/01/1909;40;58;river;;;58841;;18/07/2014;JLF
02/01/1909;42;60;river;;;59543;;18/07/2014;JLF
02/01/1909;42;61;river;;;59893;;18/07/2014;JLF
02/01/1909;43;60;river;;;59544;;18/07/2014;JLF
02/01/1909;43;61;river;;;59894;;18/07/2014;JLF
02/01/1909;46;24;river;;;46947;;18/07/2014;JLF
02/01/1909;47;9;river;;;41698;;18/07/2014;JLF
02/01/1909;47;21;river;;;45898;;18/07/2014;JLF
02/01/1909;48;0;river;;;38549;;18/07/2014;JLF
02/01/1909;48;1;river;;;38899;;18/07/2014;JLF
02/01/1909;48;15;river;;;43799;;18/07/2014;JLF
02/01/1909;48;16;river;;;44149;;18/07/2014;JLF
02/01/1909;48;19;river;;;45199;;18/07/2014;JLF
02/01/1909;48;24;river;;;46949;;18/07/2014;JLF
02/01/1909;49;0;river;;;38550;;18/07/2014;JLF
02/01/1909;49;3;river;;;39600;;18/07/2014;JLF
02/01/1909;49;9;river;;;41700;;18/07/2014;JLF
02/01/1909;49;14;river;;;43450;;18/07/2014;JLF
02/01/1909;49;17;river;;;44500;;18/07/2014;JLF
02/01/1909;49;19;river;;;45200;;18/07/2014;JLF
02/01/1909;49;21;river;;;45900;;18/07/2014;JLF
02/01/1909;50;5;river;;;40301;;18/07/2014;JLF
02/01/1909;50;8;river;;;41351;;18/07/2014;JLF
02/01/1909;50;13;river;;;43101;;18/07/2014;JLF
02/01/1909;51;0;river;;;38552;;18/07/2014;JLF
02/01/1909;51;1;river;;;38902;;18/07/2014;JLF
02/01/1909;51;2;river;;;39252;;18/07/2014;JLF
02/01/1909;51;4;river;;;39952;;18/07/2014;JLF
02/01/1909;51;7;river;;;41002;;18/07/2014;JLF
02/01/1909;52;0;river;;;38553;;18/07/2014;JLF
02/01/1909;52;1;river;;;38903;;18/07/2014;JLF
02/01/1909;52;2;river;;;39253;;18/07/2014;JLF
02/01/1909;52;3;river;;;39603;;18/07/2014;JLF
02/01/1909;52;9;river;;;41703;;18/07/2014;JLF
