DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;;;;
01/01/1980;-17.393754;14.758945;city;Pikine-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-17.366029;14.764504;city;Dakar-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-16.965376;14.422842;city;Mbour-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-16.900148;14.766354;city;Thies-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-16.481817;16.032631;city;Saint-Louis-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-16.446477;15.376338;city;Kebemer-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-16.411143;14.339017;city;Fatick-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-16.234563;14.656124;city;Diourbel-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-16.235881;15.619911;city;Louga-GE;;;;09/08/2016;JLF;;;;;
01/01/1980;-16.075775;14.165208;city;Kaolack-GE;0;;;18/05/2016;JLF;;;;;
01/01/1980;-15.990553;15.504053;city;Coki Gueye-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-15.899496;14.866557;city;Touba-Mbacke-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-15.694045;16.458878;city;Richard-Toll-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-15.503478;16.510563;city;Dagana-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-15.482968;15.35588;city;Dahra-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-15.111278;15.39611;city;Linguere-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-14.959329;16.660059;city;Podor-GE;;;;09/08/2016;JLF;;;;;
01/01/1980;-14.433333;15.05;city;Naoure-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-13.854959;16.071778;city;Galoya-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-13.257691;15.660023;city;Matam-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-12.463854;14.90267;city;Bakel-GE;;;;18/05/2016;JLF;;;;;
01/01/1980;-12.215716;14.457241;city;Kidira-GE;;;;09/08/2016;JLF;;;;;
01/01/1980;-12.18536;12.557736;city;Kedougou-GE;;;;09/08/2016;JLF;;;;;
01/01/1980;-13.669801;13.772252;city;Tambacounda-GE;;;;09/08/2016;JLF;;;;;
01/01/1980;-16.28333;12.5611;city;Ziguinchor-GE;;;;09/08/2016;JLF;;;;;
02/01/1980;101;236;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;102;236;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;113;238;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;48;119;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;53;118;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;53;119;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;59;211;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;62;86;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;62;114;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;63;114;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;64;113;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;64;114;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;65;112;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;73;107;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;74;99;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;81;103;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;82;103;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;83;104;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;84;104;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;100;236;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;103;235;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;39;150;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;40;150;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;41;151;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;42;151;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;43;152;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;44;153;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;45;154;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;46;155;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;46;156;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;47;156;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;47;157;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;48;157;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;48;158;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;49;158;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;49;159;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;50;160;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;51;161;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;52;163;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;53;164;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;54;165;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;54;166;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;55;167;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;55;168;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;56;169;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;57;170;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;57;171;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;58;172;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;59;173;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;60;174;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;69;185;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;70;186;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;71;188;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;71;189;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;9;140;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;10;141;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;11;141;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;97;237;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;10;140;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;24;148;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;25;145;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;25;146;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;25;147;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;25;148;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;34;160;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;35;160;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;47;119;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;49;119;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;52;119;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;54;117;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;54;118;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;55;117;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;56;116;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;56;117;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;57;116;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;58;116;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;58;208;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;58;209;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;58;210;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;59;115;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;59;208;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;60;115;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;61;86;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;61;115;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;61;212;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;62;115;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;63;212;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;64;212;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;64;213;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;65;113;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;66;111;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;67;111;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;68;111;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;70;15;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;70;16;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;71;15;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;75;100;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;75;106;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;76;106;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;77;105;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;77;106;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;78;105;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;79;105;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;81;102;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;82;101;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;82;104;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;82;106;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;85;104;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;86;103;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;99;236;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;102;78;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;102;79;road;;;;;19/05/2016;JLF;;;;;
02/01/1980;102;235;road;;;;;19/05/2016;JLF;;;;;
