DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;COMMENT;date ajout;resp. ajout;;
01/01/1909;0;34;city;Dakar;;date d'origine:06/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;4;34;city;Rufisque;;date d'origine:24/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;7;30;city;Mbour;;date d'origine:20/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;8;35;city;Thies;;date d'origine:28/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;10;37;city;Tivaouane;;date d'origine:29/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;13;16;city;Banjul;;date d'origine:03/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;14;53;city;Saint-Louis;;date d'origine:25/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;15;26;city;Foundiougne;;date d'origine:08/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;15;43;city;Kebemer;;date d'origine:13/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;16;28;city;Fatick;;date création: par unification des dates de création des villes;07/07/2015;PAM;;
01/01/1909;17;3;city;Ziguinchor;;date d'origine:31/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;18;33;city;Diourbel;;date d'origine:07/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;18;47;city;Louga;;date d'origine:18/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;20;26;city;Kaolack;;date d'origine:11/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;23;36;city;Touba-Mbacke;;date d'origine:05/01/1945(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;26;59;city;Richard-Toll;;date d'origine:23/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
01/01/1909;27;5;city;Sedhiou;;date d'origine:26/01/1909(PAM0:3/06/2015);10/12/2014;JLF&JMD;;
