DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
01/01/1909;-17.393754;14.758945;city;Pikine-GE;;;;09/12/2015;JLF
01/01/1909;-17.366029;14.764504;city;Dakar-GE;;;;09/12/2015;JLF
01/01/1909;-16.965376;14.422842;city;Mbour-GE;;41682;;09/12/2015;JLF
01/01/1909;-16.900148;14.766354;city;Thies-GE;;49035;;09/12/2015;JLF
01/01/1909;-16.481817;16.032631;city;Saint-Louis-GE;;;;09/12/2015;JLF
01/01/1909;-16.446477;15.376338;city;Kebemer-GE;;;;09/12/2015;JLF
01/01/1909;-16.411143;14.339017;city;Fatick-GE;;;;09/12/2015;JLF
01/01/1909;-16.234563;14.656124;city;Diourbel-GE;;46274;;19/07/2014;JLF
01/01/1909;-16.22868;15.614177;city;Louga-GE;;;;09/12/2015;JLF
01/01/1909;-16.075775;14.165208;city;Kaolack-GE;0;;position fictive;09/12/2015, 23/03/2016;JLF & LG
01/01/1909;-15.990553;15.504053;city;Coki Gueye-GE;;58506;;19/07/2014;JLF
01/01/1909;-15.899496;14.866557;city;Touba-Mbacke-GE;;;;09/12/2015;JLF
01/01/1909;-15.694045;16.458878;city;Richard-Toll-GE;;;;09/12/2015;JLF
01/01/1909;-15.503478;16.510563;city;Dagana-GE;;;;09/12/2015;JLF
01/01/1909;-15.482968;15.35588;city;Dahra-GE;;;;09/12/2015;JLF
01/01/1909;-15.111278;15.39611;city;Linguere-GE;;;;09/12/2015;JLF
01/01/1909;-14.959329;16.660059;city;Podor-GE;;;;09/12/2015;JLF
01/01/1909;-14.433333;15.05;city;Naoure-GE;;54425;;19/07/2014;JLF
01/01/1909;-13.854959;16.071778;city;Galoya-GE;;74758;Galloya sur l'original;19/07/2014;JLF
01/01/1909;-13.257691;15.660023;city;Matam-GE;;;;09/12/2015;JLF
01/01/1909;-12.463854;14.90267;city;Bakel-GE;;;;09/12/2015;JLF
01/01/1909;-12.211882;14.458112;city;Kidira-GE;;;;09/12/2015;JLF
01/01/1909;299;223;city;Kidira;;;;09/12/2015;JLF
01/01/1909;91;140;city;Touba-Mbacke;;;;09/12/2015;JLF
01/01/1909;34;140;city;Thies;;49035;;09/12/2015;JLF
01/01/1909;57;210;city;Saint-Louis;;;;09/12/2015;JLF
01/01/1909;103;235;city;Richard-Toll;;;;09/12/2015;JLF
01/01/1909;144;246;city;Podor;;;;09/12/2015;JLF
01/01/1909;7;138;city;Pikine;;;;09/12/2015;JLF
01/01/1909;31;119;city;Mbour;;41682;;09/12/2015;JLF
01/01/1909;240;189;city;Matam;;;;09/12/2015;JLF
01/01/1909;71;188;city;Louga;;;;09/12/2015;JLF
01/01/1909;135;174;city;Linguere;;;;09/12/2015;JLF
01/01/1909;61;173;city;Kebemer;;;;09/12/2015;JLF
01/01/1909;82;110;city;Kaolack;0;;position fictive;09/12/2015, 23/03/2016;JLF & LG
01/01/1909;63;114;city;Fatick;;;;09/12/2015;JLF
01/01/1909;4;138;city;Dakar;;;;09/12/2015;JLF
01/01/1909;113;171;city;Dahra;;;;09/12/2015;JLF
01/01/1909;113;238;city;Dagana;;;;09/12/2015;JLF
01/01/1909;294;139;city;Bakel;;;;09/12/2015;JLF
02/01/1909;9;140;river;;;49010;;18/07/2014;JLF
02/01/1909;9;141;river;;;49360;;18/07/2014;JLF
02/01/1909;10;140;river;;;49011;;18/07/2014;JLF
02/01/1909;10;141;river;;;49361;;18/07/2014;JLF
02/01/1909;11;141;river;;;49362;;18/07/2014;JLF
02/01/1909;12;141;river;;;49363;;18/07/2014;JLF
02/01/1909;12;142;river;;;49713;;18/07/2014;JLF
02/01/1909;13;141;river;;;49364;;18/07/2014;JLF
02/01/1909;13;142;river;;;49714;;18/07/2014;JLF
02/01/1909;15;142;river;;;49716;;18/07/2014;JLF
02/01/1909;15;143;river;;;50066;;18/07/2014;JLF
02/01/1909;16;142;river;;;49717;;18/07/2014;JLF
02/01/1909;16;143;river;;;50067;;18/07/2014;JLF
02/01/1909;17;142;river;;;49718;;18/07/2014;JLF
02/01/1909;17;143;river;;;50068;;18/07/2014;JLF
02/01/1909;17;144;river;;;50418;;18/07/2014;JLF
02/01/1909;18;143;river;;;50069;;18/07/2014;JLF
02/01/1909;18;144;river;;;50419;;18/07/2014;JLF
02/01/1909;24;147;river;;;51475;;18/07/2014;JLF
02/01/1909;24;148;river;;;51825;;18/07/2014;JLF
02/01/1909;25;145;river;;;50776;;18/07/2014;JLF
02/01/1909;25;146;river;;;51126;;18/07/2014;JLF
02/01/1909;25;147;river;;;51476;;18/07/2014;JLF
02/01/1909;25;148;river;;;51826;;18/07/2014;JLF
02/01/1909;26;145;river;;;50777;;18/07/2014;JLF
02/01/1909;26;146;river;;;51127;;18/07/2014;JLF
02/01/1909;26;147;river;;;51477;;18/07/2014;JLF
02/01/1909;34;160;river;;;56035;;18/07/2014;JLF
02/01/1909;34;161;river;;;56385;;18/07/2014;JLF
02/01/1909;35;160;river;;;56036;;18/07/2014;JLF
02/01/1909;37;163;river;;;57088;;18/07/2014;JLF
02/01/1909;38;165;river;;;57789;;18/07/2014;JLF
02/01/1909;40;167;river;;;58491;;18/07/2014;JLF
02/01/1909;40;168;river;;;58841;;18/07/2014;JLF
02/01/1909;42;170;river;;;59543;;18/07/2014;JLF
02/01/1909;42;171;river;;;59893;;18/07/2014;JLF
02/01/1909;43;170;river;;;59544;;18/07/2014;JLF
02/01/1909;43;171;river;;;59894;;18/07/2014;JLF
02/01/1909;46;134;river;;;46947;;18/07/2014;JLF
02/01/1909;47;119;river;;;41698;;18/07/2014;JLF
02/01/1909;47;131;river;;;45898;;18/07/2014;JLF
02/01/1909;48;110;river;;;38549;;18/07/2014;JLF
02/01/1909;48;111;river;;;38899;;18/07/2014;JLF
02/01/1909;48;125;river;;;43799;;18/07/2014;JLF
02/01/1909;48;126;river;;;44149;;18/07/2014;JLF
02/01/1909;48;129;river;;;45199;;18/07/2014;JLF
02/01/1909;48;134;river;;;46949;;18/07/2014;JLF
02/01/1909;49;110;river;;;38550;;18/07/2014;JLF
02/01/1909;49;113;river;;;39600;;18/07/2014;JLF
02/01/1909;49;119;river;;;41700;;18/07/2014;JLF
02/01/1909;49;124;river;;;43450;;18/07/2014;JLF
02/01/1909;49;127;river;;;44500;;18/07/2014;JLF
02/01/1909;49;129;river;;;45200;;18/07/2014;JLF
02/01/1909;49;131;river;;;45900;;18/07/2014;JLF
02/01/1909;50;115;river;;;40301;;18/07/2014;JLF
02/01/1909;50;118;river;;;41351;;18/07/2014;JLF
02/01/1909;50;123;river;;;43101;;18/07/2014;JLF
02/01/1909;51;110;river;;;38552;;18/07/2014;JLF
02/01/1909;51;111;river;;;38902;;18/07/2014;JLF
02/01/1909;51;112;river;;;39252;;18/07/2014;JLF
02/01/1909;51;114;river;;;39952;;18/07/2014;JLF
02/01/1909;51;117;river;;;41002;;18/07/2014;JLF
02/01/1909;52;110;river;;;38553;;18/07/2014;JLF
02/01/1909;52;111;river;;;38903;;18/07/2014;JLF
02/01/1909;52;112;river;;;39253;;18/07/2014;JLF
02/01/1909;52;113;river;;;39603;;18/07/2014;JLF
02/01/1909;52;119;river;;;41703;;18/07/2014;JLF
02/01/1909;52;120;river;;;42053;;18/07/2014;JLF
02/01/1909;52;121;river;;;42403;;18/07/2014;JLF
02/01/1909;53;117;river;;;41004;;18/07/2014;JLF
02/01/1909;53;121;river;;;42404;;18/07/2014;JLF
02/01/1909;54;111;river;;;38905;;18/07/2014;JLF
02/01/1909;54;112;river;;;39255;;18/07/2014;JLF
02/01/1909;54;113;river;;;39605;;18/07/2014;JLF
02/01/1909;54;114;river;;;39955;;18/07/2014;JLF
02/01/1909;54;115;river;;;40305;;18/07/2014;JLF
02/01/1909;54;116;river;;;40655;;18/07/2014;JLF
02/01/1909;54;117;river;;;41005;;18/07/2014;JLF
02/01/1909;54;118;river;;;41355;;18/07/2014;JLF
02/01/1909;54;119;river;;;41705;;18/07/2014;JLF
02/01/1909;54;123;river;;;43105;;18/07/2014;JLF
02/01/1909;55;110;river;;;38556;;18/07/2014;JLF
02/01/1909;55;111;river;;;38906;;18/07/2014;JLF
02/01/1909;55;112;river;;;39256;;18/07/2014;JLF
02/01/1909;55;114;river;;;39956;;18/07/2014;JLF
02/01/1909;55;115;river;;;40306;;18/07/2014;JLF
02/01/1909;55;116;river;;;40656;;18/07/2014;JLF
02/01/1909;55;117;river;;;41006;;18/07/2014;JLF
02/01/1909;55;118;river;;;41356;;18/07/2014;JLF
02/01/1909;55;119;river;;;41706;;18/07/2014;JLF
02/01/1909;55;122;river;;;42756;;18/07/2014;JLF
02/01/1909;55;123;river;;;43106;;18/07/2014;JLF
02/01/1909;55;197;river;;;69006;;18/07/2014;JLF
02/01/1909;56;113;river;;;39607;;18/07/2014;JLF
02/01/1909;56;114;river;;;39957;;18/07/2014;JLF
02/01/1909;56;115;river;;;40307;;18/07/2014;JLF
02/01/1909;56;116;river;;;40657;;18/07/2014;JLF
02/01/1909;56;117;river;;;41007;;18/07/2014;JLF
02/01/1909;56;118;river;;;41357;;18/07/2014;JLF
02/01/1909;56;119;river;;;41707;;18/07/2014;JLF
02/01/1909;56;120;river;;;42057;;18/07/2014;JLF
02/01/1909;56;121;river;;;42407;;18/07/2014;JLF
02/01/1909;56;122;river;;;42757;;18/07/2014;JLF
02/01/1909;56;197;river;;;69007;;18/07/2014;JLF
02/01/1909;56;198;river;;;69357;;18/07/2014;JLF
02/01/1909;56;199;river;;;69707;;18/07/2014;JLF
02/01/1909;56;200;river;;;70057;;18/07/2014;JLF
02/01/1909;56;201;river;;;70407;;18/07/2014;JLF
02/01/1909;56;202;river;;;70757;;18/07/2014;JLF
02/01/1909;56;203;river;;;71107;;18/07/2014;JLF
02/01/1909;57;111;river;;;38908;;18/07/2014;JLF
02/01/1909;57;112;river;;;39258;;18/07/2014;JLF
02/01/1909;57;113;river;;;39608;;18/07/2014;JLF
02/01/1909;57;114;river;;;39958;;18/07/2014;JLF
02/01/1909;57;115;river;;;40308;;18/07/2014;JLF
02/01/1909;57;116;river;;;40658;;18/07/2014;JLF
02/01/1909;57;117;river;;;41008;;18/07/2014;JLF
02/01/1909;57;118;river;;;41358;;18/07/2014;JLF
02/01/1909;57;119;river;;;41708;;18/07/2014;JLF
02/01/1909;57;120;river;;;42058;;18/07/2014;JLF
02/01/1909;57;121;river;;;42408;;18/07/2014;JLF
02/01/1909;57;122;river;;;42758;;18/07/2014;JLF
02/01/1909;57;199;river;;;69708;;18/07/2014;JLF
02/01/1909;57;200;river;;;70058;;18/07/2014;JLF
02/01/1909;57;201;river;;;70408;;18/07/2014;JLF
02/01/1909;57;202;river;;;70758;;18/07/2014;JLF
