DATE;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT
01/01/1910;0;0;bioClimate;0;;1;
01/01/1910;0;1;bioClimate;0;;90;
01/01/1910;0;2;bioClimate;0;;179;
01/01/1910;0;3;bioClimate;0;;268;
01/01/1910;0;4;bioClimate;0;;357;
01/01/1910;0;5;bioClimate;0;;446;
01/01/1910;0;6;bioClimate;0;;535;
01/01/1910;0;7;bioClimate;0;;624;
01/01/1910;0;8;bioClimate;0;;713;
01/01/1910;0;9;bioClimate;0;;802;
01/01/1910;0;10;bioClimate;0;;891;
01/01/1910;0;11;bioClimate;0;;980;
01/01/1910;0;12;bioClimate;0;;1069;
01/01/1910;0;13;bioClimate;0;;1158;
01/01/1910;0;14;bioClimate;0;;1247;
01/01/1910;0;15;bioClimate;0;;1336;
01/01/1910;0;16;bioClimate;0;;1425;
01/01/1910;0;17;bioClimate;0;;1514;
01/01/1910;0;18;bioClimate;0;;1603;
01/01/1910;0;19;bioClimate;0;;1692;
01/01/1910;0;20;bioClimate;0;;1781;
01/01/1910;0;21;bioClimate;0;;1870;
01/01/1910;0;22;bioClimate;0;;1959;
01/01/1910;0;23;bioClimate;0;;2048;
01/01/1910;0;24;bioClimate;0;;2137;
01/01/1910;0;25;bioClimate;0;;2226;
01/01/1910;0;26;bioClimate;0;;2315;
01/01/1910;0;27;bioClimate;0;;2404;
01/01/1910;0;28;bioClimate;0;;2493;
01/01/1910;0;29;bioClimate;0;;2582;
01/01/1910;0;30;bioClimate;0;;2671;
01/01/1910;0;31;bioClimate;0;;2760;
01/01/1910;0;32;bioClimate;0;;2849;
01/01/1910;0;33;bioClimate;0;;2938;
01/01/1910;0;34;bioClimate;4;;3027;
01/01/1910;0;35;bioClimate;1;;3116;
01/01/1910;0;36;bioClimate;0;;3205;
01/01/1910;0;37;bioClimate;0;;3294;
01/01/1910;0;38;bioClimate;0;;3383;
01/01/1910;0;39;bioClimate;0;;3472;
01/01/1910;0;40;bioClimate;0;;3561;
01/01/1910;0;41;bioClimate;0;;3650;
01/01/1910;0;42;bioClimate;0;;3739;
01/01/1910;0;43;bioClimate;0;;3828;
01/01/1910;0;44;bioClimate;0;;3917;
01/01/1910;0;45;bioClimate;0;;4006;
01/01/1910;0;46;bioClimate;0;;4095;
01/01/1910;0;47;bioClimate;0;;4184;
01/01/1910;0;48;bioClimate;0;;4273;
01/01/1910;0;49;bioClimate;0;;4362;
01/01/1910;0;50;bioClimate;0;;4451;
01/01/1910;0;51;bioClimate;0;;4540;
01/01/1910;0;52;bioClimate;0;;4629;
01/01/1910;0;53;bioClimate;0;;4718;
01/01/1910;0;54;bioClimate;0;;4807;
01/01/1910;0;55;bioClimate;0;;4896;
01/01/1910;0;56;bioClimate;0;;4985;
01/01/1910;0;57;bioClimate;0;;5074;
01/01/1910;0;58;bioClimate;0;;5163;
01/01/1910;0;59;bioClimate;0;;5252;
01/01/1910;0;60;bioClimate;0;;5341;
01/01/1910;0;61;bioClimate;0;;5430;
01/01/1910;0;62;bioClimate;0;;5519;
01/01/1910;1;0;bioClimate;0;;2;
01/01/1910;1;1;bioClimate;0;;91;
01/01/1910;1;2;bioClimate;0;;180;
01/01/1910;1;3;bioClimate;0;;269;
01/01/1910;1;4;bioClimate;0;;358;
01/01/1910;1;5;bioClimate;0;;447;
01/01/1910;1;6;bioClimate;0;;536;
01/01/1910;1;7;bioClimate;0;;625;
01/01/1910;1;8;bioClimate;0;;714;
01/01/1910;1;9;bioClimate;0;;803;
01/01/1910;1;10;bioClimate;0;;892;
01/01/1910;1;11;bioClimate;0;;981;
01/01/1910;1;12;bioClimate;0;;1070;
01/01/1910;1;13;bioClimate;0;;1159;
01/01/1910;1;14;bioClimate;0;;1248;
01/01/1910;1;15;bioClimate;0;;1337;
01/01/1910;1;16;bioClimate;0;;1426;
01/01/1910;1;17;bioClimate;0;;1515;
01/01/1910;1;18;bioClimate;0;;1604;
01/01/1910;1;19;bioClimate;0;;1693;
01/01/1910;1;20;bioClimate;0;;1782;
01/01/1910;1;21;bioClimate;0;;1871;
01/01/1910;1;22;bioClimate;0;;1960;
01/01/1910;1;23;bioClimate;0;;2049;
01/01/1910;1;24;bioClimate;0;;2138;
01/01/1910;1;25;bioClimate;0;;2227;
01/01/1910;1;26;bioClimate;0;;2316;
01/01/1910;1;27;bioClimate;0;;2405;
01/01/1910;1;28;bioClimate;0;;2494;
01/01/1910;1;29;bioClimate;0;;2583;
01/01/1910;1;30;bioClimate;0;;2672;
01/01/1910;1;31;bioClimate;0;;2761;
01/01/1910;1;32;bioClimate;0;;2850;
01/01/1910;1;33;bioClimate;0;;2939;
01/01/1910;1;34;bioClimate;4;;3028;
01/01/1910;1;35;bioClimate;1;;3117;
01/01/1910;1;36;bioClimate;0;;3206;
01/01/1910;1;37;bioClimate;0;;3295;
01/01/1910;1;38;bioClimate;0;;3384;
01/01/1910;1;39;bioClimate;0;;3473;
01/01/1910;1;40;bioClimate;0;;3562;
01/01/1910;1;41;bioClimate;0;;3651;
01/01/1910;1;42;bioClimate;0;;3740;
01/01/1910;1;43;bioClimate;0;;3829;
01/01/1910;1;44;bioClimate;0;;3918;
01/01/1910;1;45;bioClimate;0;;4007;
01/01/1910;1;46;bioClimate;0;;4096;
01/01/1910;1;47;bioClimate;0;;4185;
01/01/1910;1;48;bioClimate;0;;4274;
01/01/1910;1;49;bioClimate;0;;4363;
01/01/1910;1;50;bioClimate;0;;4452;
01/01/1910;1;51;bioClimate;0;;4541;
01/01/1910;1;52;bioClimate;0;;4630;
01/01/1910;1;53;bioClimate;0;;4719;
01/01/1910;1;54;bioClimate;0;;4808;
01/01/1910;1;55;bioClimate;0;;4897;
01/01/1910;1;56;bioClimate;0;;4986;
01/01/1910;1;57;bioClimate;0;;5075;
01/01/1910;1;58;bioClimate;0;;5164;
01/01/1910;1;59;bioClimate;0;;5253;
01/01/1910;1;60;bioClimate;0;;5342;
01/01/1910;1;61;bioClimate;0;;5431;
01/01/1910;1;62;bioClimate;0;;5520;
01/01/1910;2;0;bioClimate;0;;3;
01/01/1910;2;1;bioClimate;0;;92;
01/01/1910;2;2;bioClimate;0;;181;
01/01/1910;2;3;bioClimate;0;;270;
01/01/1910;2;4;bioClimate;0;;359;
01/01/1910;2;5;bioClimate;0;;448;
01/01/1910;2;6;bioClimate;0;;537;
01/01/1910;2;7;bioClimate;0;;626;
01/01/1910;2;8;bioClimate;0;;715;
01/01/1910;2;9;bioClimate;0;;804;
01/01/1910;2;10;bioClimate;0;;893;
01/01/1910;2;11;bioClimate;0;;982;
01/01/1910;2;12;bioClimate;0;;1071;
01/01/1910;2;13;bioClimate;0;;1160;
01/01/1910;2;14;bioClimate;0;;1249;
01/01/1910;2;15;bioClimate;0;;1338;
01/01/1910;2;16;bioClimate;0;;1427;
01/01/1910;2;17;bioClimate;0;;1516;
01/01/1910;2;18;bioClimate;0;;1605;
01/01/1910;2;19;bioClimate;0;;1694;
01/01/1910;2;20;bioClimate;0;;1783;
01/01/1910;2;21;bioClimate;0;;1872;
01/01/1910;2;22;bioClimate;0;;1961;
01/01/1910;2;23;bioClimate;0;;2050;
