X;Y;DATE;CELL_ID;EVENT;VALUE;COMMENT
0;34;02/01/1910;3027;road;;20130603-Ajout pour routes dans Dakar
0;35;02/01/1910;3116;road;;
1;34;02/01/1910;3028;road;;20130603-Ajout pour routes dans Dakar
1;35;02/01/1910;3117;road;;x
2;35;02/01/1910;3118;road;;
3;34;02/01/1910;3030;road;;
3;35;02/01/1910;3119;road;;
4;34;02/01/1910;3031;road;;
4;35;02/01/1910;3120;road;;20130603-Ajout pour routes dans Rufisque
4;35;02/01/1910;3120;road;;20130603-Ajout pour routes dans Rufisque
5;34;02/01/1910;3032;road;;
5;35;02/01/1910;3121;road;;
6;32;02/01/1910;2855;road;;
6;33;02/01/1910;2944;road;;
6;34;02/01/1910;3033;road;;
6;35;02/01/1910;3122;road;;
7;30;02/01/1910;2678;road;;
7;31;02/01/1910;2767;road;;
7;32;02/01/1910;2856;road;;
7;33;02/01/1910;2945;road;;
7;35;02/01/1910;3123;road;;
8;28;02/01/1910;2501;road;;
8;29;02/01/1910;2590;road;;
8;30;02/01/1910;2679;road;;
8;35;02/01/1910;3124;road;;
8;36;02/01/1910;3213;road;;
9;27;02/01/1910;2413;road;;
9;28;02/01/1910;2502;road;;
9;33;02/01/1910;2947;road;;
9;34;02/01/1910;3036;road;;
9;35;02/01/1910;3125;road;;
9;36;02/01/1910;3214;road;;
9;37;02/01/1910;3303;road;;
10;2;02/01/1910;189;road;;
10;26;02/01/1910;2325;road;;
10;27;02/01/1910;2414;road;;
10;28;02/01/1910;2503;road;;
10;32;02/01/1910;2859;road;;
10;33;02/01/1910;2948;road;;
10;35;02/01/1910;3126;road;;
10;37;02/01/1910;3304;road;;
10;38;02/01/1910;3393;road;;
11;1;02/01/1910;101;road;;
11;2;02/01/1910;190;road;;
11;9;02/01/1910;813;road;;
11;10;02/01/1910;902;road;;
11;16;02/01/1910;1436;road;;20130603-Ajout pour routes dans Banjul
11;25;02/01/1910;2237;road;;
11;26;02/01/1910;2326;road;;
11;28;02/01/1910;2504;road;;
11;29;02/01/1910;2593;road;;
11;30;02/01/1910;2682;road;;
11;31;02/01/1910;2771;road;;
11;32;02/01/1910;2860;road;;
11;35;02/01/1910;3127;road;;
11;38;02/01/1910;3394;road;;
11;39;02/01/1910;3483;road;;
12;1;02/01/1910;102;road;;
12;10;02/01/1910;903;road;;
12;15;02/01/1910;1348;road;;20130603-Ajout pour routes dans Banjul
12;16;02/01/1910;1437;road;;20130603-Ajout pour routes dans Banjul
12;17;02/01/1910;1526;road;;20130603-Ajout pour routes dans Banjul
12;30;02/01/1910;2683;road;;
12;31;02/01/1910;2772;road;;
12;32;02/01/1910;2861;road;;
12;35;02/01/1910;3128;road;;
12;39;02/01/1910;3484;road;;
12;40;02/01/1910;3573;road;;
13;0;02/01/1910;14;road;;
13;1;02/01/1910;103;road;;
13;2;02/01/1910;192;road;;
13;10;02/01/1910;904;road;;
13;11;02/01/1910;993;road;;
13;12;02/01/1910;1082;road;;
13;16;02/01/1910;1438;road;;
13;18;02/01/1910;1616;road;;20130530-ajout pour rejoindre Banjul
13;30;02/01/1910;2684;road;;
13;32;02/01/1910;2862;road;;
13;33;02/01/1910;2951;road;;
13;34;02/01/1910;3040;road;;
13;35;02/01/1910;3129;road;;
13;40;02/01/1910;3574;road;;
13;41;02/01/1910;3663;road;;
13;42;02/01/1910;3752;road;;
14;1;02/01/1910;104;road;;
14;2;02/01/1910;193;road;;
14;12;02/01/1910;1083;road;;
14;18;02/01/1910;1617;road;;20130530-ajout pour rejoindre Banjul
14;29;02/01/1910;2596;road;;
14;30;02/01/1910;2685;road;;
14;34;02/01/1910;3041;road;;
14;35;02/01/1910;3130;road;;
14;36;02/01/1910;3219;road;;
14;42;02/01/1910;3753;road;;
14;43;02/01/1910;3842;road;;
14;51;02/01/1910;4554;road;;
14;53;02/01/1910;4732;road;;20130603-Ajout pour routes dans Saint-Louis
15;2;02/01/1910;194;road;;
15;12;02/01/1910;1084;road;;
15;18;02/01/1910;1618;road;;20130530-ajout pour rejoindre Banjul
15;26;02/01/1910;2330;road;;
15;27;02/01/1910;2419;road;;
15;28;02/01/1910;2508;road;;
15;29;02/01/1910;2597;road;;
15;33;02/01/1910;2953;road;;
15;34;02/01/1910;3042;road;;
15;35;02/01/1910;3131;road;;
15;36;02/01/1910;3220;road;;
15;43;02/01/1910;3843;road;;
15;44;02/01/1910;3932;road;;
15;49;02/01/1910;4377;road;;
15;50;02/01/1910;4466;road;;
15;51;02/01/1910;4555;road;;
15;52;02/01/1910;4644;road;;
15;53;02/01/1910;4733;road;;
15;54;02/01/1910;4822;road;;
16;2;02/01/1910;195;road;;
16;3;02/01/1910;284;road;;
16;11;02/01/1910;996;road;;
16;12;02/01/1910;1085;road;;
16;18;02/01/1910;1619;road;;20130530-ajout pour rejoindre Banjul
16;22;02/01/1910;1975;road;;
16;23;02/01/1910;2064;road;;
16;24;02/01/1910;2153;road;;
16;26;02/01/1910;2331;road;;
16;28;02/01/1910;2509;road;;
16;29;02/01/1910;2598;road;;
16;30;02/01/1910;2687;road;;
16;31;02/01/1910;2776;road;;
16;32;02/01/1910;2865;road;;
16;33;02/01/1910;2954;road;;
16;34;02/01/1910;3043;road;;
16;35;02/01/1910;3132;road;;
16;36;02/01/1910;3221;road;;
16;37;02/01/1910;3310;road;;
16;44;02/01/1910;3933;road;;
16;45;02/01/1910;4022;road;;
16;48;02/01/1910;4289;road;;
16;49;02/01/1910;4378;road;;
16;51;02/01/1910;4556;road;;
16;52;02/01/1910;4645;road;;
16;54;02/01/1910;4823;road;;
17;3;02/01/1910;285;road;;
17;4;02/01/1910;374;road;;
17;11;02/01/1910;997;road;;
17;12;02/01/1910;1086;road;;
17;18;02/01/1910;1620;road;;
17;19;02/01/1910;1709;road;;
17;20;02/01/1910;1798;road;;
17;21;02/01/1910;1887;road;;
17;22;02/01/1910;1976;road;;
17;24;02/01/1910;2154;road;;
17;25;02/01/1910;2243;road;;
17;26;02/01/1910;2332;road;;
17;28;02/01/1910;2510;road;;
17;30;02/01/1910;2688;road;;
17;31;02/01/1910;2777;road;;
17;34;02/01/1910;3044;road;;
17;37;02/01/1910;3311;road;;
17;45;02/01/1910;4023;road;;
17;46;02/01/1910;4112;road;;
17;47;02/01/1910;4201;road;;
17;48;02/01/1910;4290;road;;
17;51;02/01/1910;4557;road;;
17;52;02/01/1910;4646;road;;
17;54;02/01/1910;4824;road;;
17;55;02/01/1910;4913;road;;
18;3;02/01/1910;286;road;;20130603-Ajout pour routes dans Ziguinchor
18;4;02/01/1910;375;road;;
18;5;02/01/1910;464;road;;
18;6;02/01/1910;553;road;;
18;7;02/01/1910;642;road;;
18;8;02/01/1910;731;road;;
18;9;02/01/1910;820;road;;
18;10;02/01/1910;909;road;;
18;11;02/01/1910;998;road;;
18;25;02/01/1910;2244;road;;
18;27;02/01/1910;2422;road;;
18;28;02/01/1910;2511;road;;
18;31;02/01/1910;2778;road;;
18;32;02/01/1910;2867;road;;
18;33;02/01/1910;2956;road;;
18;34;02/01/1910;3045;road;;
18;37;02/01/1910;3312;road;;
18;38;02/01/1910;3401;road;;
18;39;02/01/1910;3490;road;;
18;40;02/01/1910;3579;road;;
18;47;02/01/1910;4202;road;;
18;48;02/01/1910;4291;road;;
18;49;02/01/1910;4380;road;;
18;50;02/01/1910;4469;road;;
18;51;02/01/1910;4558;road;;
18;52;02/01/1910;4647;road;;
18;55;02/01/1910;4914;road;;
18;56;02/01/1910;5003;road;;
19;7;02/01/1910;643;road;;
19;8;02/01/1910;732;road;;
19;27;02/01/1910;2423;road;;
19;34;02/01/1910;3046;road;;
19;35;02/01/1910;3135;road;;
19;40;02/01/1910;3580;road;;
19;41;02/01/1910;3669;road;;
19;42;02/01/1910;3758;road;;
19;43;02/01/1910;3847;road;;
19;47;02/01/1910;4203;road;;
19;52;02/01/1910;4648;road;;
19;56;02/01/1910;5004;road;;
19;57;02/01/1910;5093;road;;
20;8;02/01/1910;733;road;;
20;26;02/01/1910;2335;road;;
20;27;02/01/1910;2424;road;;
20;34;02/01/1910;3047;road;;
20;35;02/01/1910;3136;road;;
20;42;02/01/1910;3759;road;;
20;43;02/01/1910;3848;road;;
20;44;02/01/1910;3937;road;;
20;46;02/01/1910;4115;road;;
20;47;02/01/1910;4204;road;;
20;52;02/01/1910;4649;road;;
20;57;02/01/1910;5094;road;;
21;8;02/01/1910;734;road;;
21;9;02/01/1910;823;road;;
21;26;02/01/1910;2336;road;;
21;35;02/01/1910;3137;road;;
21;42;02/01/1910;3760;road;;
21;44;02/01/1910;3938;road;;
21;45;02/01/1910;4027;road;;
21;46;02/01/1910;4116;road;;
21;52;02/01/1910;4650;road;;
21;57;02/01/1910;5095;road;;
21;58;02/01/1910;5184;road;;
22;9;02/01/1910;824;road;;
22;26;02/01/1910;2337;road;;
22;35;02/01/1910;3138;road;;
22;42;02/01/1910;3761;road;;
22;52;02/01/1910;4651;road;;
22;58;02/01/1910;5185;road;;
23;9;02/01/1910;825;road;;
23;10;02/01/1910;914;road;;
23;26;02/01/1910;2338;road;;
23;35;02/01/1910;3139;road;;
23;36;02/01/1910;3228;road;;
23;37;02/01/1910;3317;road;;
23;38;02/01/1910;3406;road;;
23;41;02/01/1910;3673;road;;
23;42;02/01/1910;3762;road;;
23;58;02/01/1910;5186;road;;
23;59;02/01/1910;5275;road;;
24;10;02/01/1910;915;road;;
24;26;02/01/1910;2339;road;;
24;34;02/01/1910;3051;road;;
24;35;02/01/1910;3140;road;;
24;38;02/01/1910;3407;road;;
24;39;02/01/1910;3496;road;;
24;40;02/01/1910;3585;road;;
24;41;02/01/1910;3674;road;;
24;59;02/01/1910;5276;road;;
24;60;02/01/1910;5365;road;;
25;10;02/01/1910;916;road;;
25;26;02/01/1910;2340;road;;
25;27;02/01/1910;2429;road;;
25;28;02/01/1910;2518;road;;
25;29;02/01/1910;2607;road;;
25;30;02/01/1910;2696;road;;
25;31;02/01/1910;2785;road;;
25;32;02/01/1910;2874;road;;
25;33;02/01/1910;2963;road;;
25;34;02/01/1910;3052;road;;
25;59;02/01/1910;5277;road;;
25;60;02/01/1910;5366;road;;
26;10;02/01/1910;917;road;;
26;25;02/01/1910;2252;road;;
26;26;02/01/1910;2341;road;;
26;27;02/01/1910;2430;road;;
26;28;02/01/1910;2519;road;;
26;33;02/01/1910;2964;road;;
26;59;02/01/1910;5278;road;;
26;60;02/01/1910;5367;road;;
27;10;02/01/1910;918;road;;
27;25;02/01/1910;2253;road;;
27;26;02/01/1910;2342;road;;
27;32;02/01/1910;2876;road;;
27;33;02/01/1910;2965;road;;
27;59;02/01/1910;5279;road;;
27;60;02/01/1910;5368;road;;
28;10;02/01/1910;919;road;;
28;11;02/01/1910;1008;road;;
28;25;02/01/1910;2254;road;;
28;26;02/01/1910;2343;road;;
28;32;02/01/1910;2877;road;;
28;60;02/01/1910;5369;road;;
29;11;02/01/1910;1009;road;;
29;26;02/01/1910;2344;road;;
29;32;02/01/1910;2878;road;;
29;33;02/01/1910;2967;road;;
29;60;02/01/1910;5370;road;;
30;11;02/01/1910;1010;road;;
30;25;02/01/1910;2256;road;;
30;26;02/01/1910;2345;road;;
30;33;02/01/1910;2968;road;;
30;60;02/01/1910;5371;road;;
31;11;02/01/1910;1011;road;;
31;25;02/01/1910;2257;road;;
