DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
02/01/1910;20;26;city;Kaolack;;2335;20130304-VillesCentenal.1b.xls;;JLF
02/01/1910;20;27;city;Kaolack;;2424;"20130311-VillesCentenal.2b.xls; 20130304-VillesCentenal.1b.xls";;JLF
02/01/1910;21;26;city;Kaolack;;2336;20130304-VillesCentenal.1b.xls;;JLF
02/01/1910;1;35;rail;;;3117;;;JLF
02/01/1910;2;35;rail;;;3118;;;JLF
02/01/1910;3;35;rail;;;3119;;;JLF
02/01/1910;4;34;rail;;;3031;;;JLF
02/01/1910;5;35;rail;;;3121;;;JLF
02/01/1910;6;35;rail;;;3122;;;JLF
02/01/1910;7;35;rail;;;3123;;;JLF
02/01/1910;8;35;rail;;;3124;;;JLF
02/01/1910;8;36;rail;;;3213;;;JLF
02/01/1910;9;35;rail;;;3125;;;JLF
02/01/1910;9;36;rail;;;3214;;;JLF
02/01/1910;9;37;rail;;;3303;;;JLF
02/01/1910;10;35;rail;;;3126;;;JLF
02/01/1910;10;38;rail;;;3393;;;JLF
02/01/1910;11;35;rail;;;3127;;;JLF
02/01/1910;11;38;rail;;;3394;;;JLF
02/01/1910;11;39;rail;;;3483;;;JLF
02/01/1910;12;34;rail;;;3039;;;JLF
02/01/1910;12;39;rail;;;3484;;;JLF
02/01/1910;12;40;rail;;;3573;;;JLF
02/01/1910;13;34;rail;;;3040;;;JLF
02/01/1910;13;40;rail;;;3574;;;JLF
02/01/1910;13;41;rail;;;3663;;;JLF
02/01/1910;14;34;rail;;;3041;;;JLF
02/01/1910;14;42;rail;;;3753;;;JLF
02/01/1910;14;43;rail;;;3842;;;JLF
02/01/1910;15;34;rail;;;3042;;;JLF
02/01/1910;15;43;rail;;;3843;;;JLF
02/01/1910;15;44;rail;;;3932;;;JLF
02/01/1910;15;52;rail;;;4644;;;JLF
02/01/1910;15;53;rail;;;4733;;;JLF
02/01/1910;16;34;rail;;;3043;;;JLF
02/01/1910;16;44;rail;;;3933;;;JLF
02/01/1910;16;45;rail;;;4022;;;JLF
02/01/1910;16;52;rail;;;4645;;;JLF
02/01/1910;17;34;rail;;;3044;;;JLF
02/01/1910;17;45;rail;;;4023;;;JLF
02/01/1910;17;46;rail;;;4112;;;JLF
02/01/1910;17;52;rail;;;4646;;;JLF
02/01/1910;18;34;rail;;;3045;;;JLF
02/01/1910;18;47;rail;;;4202;;;JLF
02/01/1910;18;48;rail;;;4291;;;JLF
02/01/1910;18;49;rail;;;4380;;;JLF
02/01/1910;18;50;rail;;;4469;;;JLF
02/01/1910;18;51;rail;;;4558;;;JLF
02/01/1910;18;52;rail;;;4647;;;JLF
02/01/1910;19;33;rail;;;2957;;;JLF
02/01/1910;19;34;rail;;;3046;;;JLF
02/01/1910;19;35;rail;;;3135;;;JLF
02/01/1910;19;48;rail;;;4292;;;JLF
02/01/1910;19;48;rail;;;4292;;;JLF
02/01/1910;19;49;rail;;;4381;;;JLF
02/01/1910;19;51;rail;;;4559;;;JLF
02/01/1910;20;32;rail;;;2869;;;JLF
02/01/1910;20;33;rail;;;2958;;;JLF
02/01/1910;20;35;rail;;;3136;;;JLF
02/01/1910;20;47;rail;;;4204;;;JLF
02/01/1910;21;29;rail;;;2603;;;JLF
02/01/1910;21;30;rail;;;2692;;;JLF
02/01/1910;21;31;rail;;;2781;;;JLF
02/01/1910;21;35;rail;;;3137;;;JLF
02/01/1910;21;47;rail;;;4205;;;JLF
02/01/1910;22;28;rail;;;2515;;;JLF
02/01/1910;22;36;rail;;;3227;;;JLF
02/01/1910;22;47;rail;;;4206;;;JLF
02/01/1910;23;27;rail;;;2427;;;JLF
02/01/1910;23;28;rail;;;2516;;;JLF
02/01/1910;23;36;rail;;;3228;;;JLF
02/01/1910;23;37;rail;;;3317;;;JLF
02/01/1910;23;47;rail;;;4207;;;JLF
02/01/1910;24;27;rail;;;2428;;;JLF
02/01/1910;24;37;rail;;;3318;;;JLF
02/01/1910;24;46;rail;;;4119;;;JLF
02/01/1910;25;26;rail;;;2340;;;JLF
02/01/1910;25;27;rail;;;2429;;;JLF
02/01/1910;25;46;rail;;;4120;;;JLF
02/01/1910;26;26;rail;;;2341;;;JLF
02/01/1910;26;45;rail;;;4032;;;JLF
02/01/1910;27;26;rail;;;2342;;;JLF
02/01/1910;27;45;rail;;;4033;;;JLF
02/01/1910;28;25;rail;;;2254;;;JLF
02/01/1910;28;26;rail;;;2343;;;JLF
02/01/1910;28;45;rail;;;4034;;;JLF
02/01/1910;29;25;rail;;;2255;;;JLF
02/01/1910;29;44;rail;;;3946;;;JLF
02/01/1910;30;25;rail;;;2256;;;JLF
02/01/1910;30;44;rail;;;3947;;;JLF
02/01/1910;31;25;rail;;;2257;;;JLF
02/01/1910;31;44;rail;;;3948;;;JLF
02/01/1910;32;25;rail;;;2258;;;JLF
02/01/1910;32;44;rail;;;3949;;;JLF
02/01/1910;33;25;rail;;;2259;;;JLF
02/01/1910;33;44;rail;;;3950;;;JLF
02/01/1910;34;25;rail;;;2260;;;JLF
02/01/1910;34;44;rail;;;3951;;;JLF
02/01/1910;35;24;rail;;;2172;;;JLF
02/01/1910;36;24;rail;;;2173;;;JLF
02/01/1910;37;24;rail;;;2174;;;JLF
02/01/1910;38;24;rail;;;2175;;;JLF
02/01/1910;39;24;rail;;;2176;;;JLF
02/01/1910;40;24;rail;;;2177;;;JLF
02/01/1910;41;24;rail;;;2178;;;JLF
02/01/1910;42;23;rail;;;2090;;;JLF
02/01/1910;43;23;rail;;;2091;;;JLF
02/01/1910;44;23;rail;;;2092;;;JLF
02/01/1910;45;23;rail;;;2093;;;JLF
02/01/1910;46;22;rail;;;2005;;;JLF
02/01/1910;47;22;rail;;;2006;;;JLF
02/01/1910;48;22;rail;;;2007;;;JLF
02/01/1910;49;22;rail;;;2008;;;JLF
02/01/1910;50;21;rail;;;1920;;;JLF
02/01/1910;51;21;rail;;;1921;;;JLF
02/01/1910;52;21;rail;;;1922;;;JLF
02/01/1910;53;20;rail;;;1834;;;JLF
02/01/1910;54;20;rail;;;1835;;;JLF
02/01/1910;55;21;rail;;;1925;;;JLF
02/01/1910;56;21;rail;;;1926;;;JLF
02/01/1910;57;22;rail;;;2016;;;JLF
02/01/1910;58;22;rail;;;2017;;;JLF
02/01/1910;58;23;rail;;;2106;;;JLF
02/01/1910;59;23;rail;;;2107;;;JLF
02/01/1910;60;24;rail;;;2197;;;JLF
02/01/1910;61;24;rail;;;2198;;;JLF
02/01/1910;62;24;rail;;;2199;;;JLF
02/01/1910;62;25;rail;;;2288;;;JLF
02/01/1910;63;25;rail;;;2289;;;JLF
02/01/1910;64;25;rail;;;2290;;;JLF
02/01/1910;65;25;rail;;;2291;;;JLF
02/01/1910;66;26;rail;;;2381;;;JLF
02/01/1910;67;26;rail;;;2382;JLF;;
02/01/1910;68;26;rail;;;2383;JLF;;
02/01/1910;69;26;rail;;;2384;JLF;;
02/01/1910;70;27;rail;;;2474;JLF;;
02/01/1910;71;28;rail;;;2564;JLF;;
02/01/1910;72;28;rail;;;2565;JLF;;
02/01/1910;73;29;rail;;;2655;JLF;;
02/01/1910;74;29;rail;;;2656;JLF;;
02/01/1910;75;30;rail;;;2746;JLF;;
02/01/1910;76;30;rail;;;2747;JLF;;
02/01/1910;76;31;rail;;;2836;JLF;;
02/01/1910;77;30;rail;;;2748;JLF;;
02/01/1910;77;31;rail;;;2837;JLF;;
02/01/1910;78;31;rail;;;2838;JLF;;
02/01/1910;79;31;rail;;;2839;JLF;;
02/01/1910;80;31;rail;;;2840;JLF;;
02/01/1910;81;31;rail;;;2841;JLF;;
02/01/1910;82;31;rail;;;2842;JLF;;
02/01/1910;83;31;rail;;;2843;JLF;;
02/01/1910;84;31;rail;;;2844;JLF;;
02/01/1910;85;31;rail;;;2845;JLF;;
02/01/1910;86;31;rail;;;2846;JLF;;
02/01/1910;87;31;rail;;;2847;JLF;;
02/01/1910;11;3;river;Casamance;;279;;;JLF
02/01/1910;11;4;river;Casamance;;368;;;JLF
02/01/1910;12;4;river;Casamance;;369;;;JLF
02/01/1910;13;4;river;Casamance;;370;;;JLF
02/01/1910;13;5;river;Casamance;;459;;;JLF
02/01/1910;13;15;river;Gambia;;1349;;;JLF
02/01/1910;13;16;river;Gambia;;1438;;;JLF
02/01/1910;13;17;river;Gambia;;1527;;;JLF
02/01/1910;14;4;river;Casamance;;371;;;JLF
02/01/1910;14;5;river;Casamance;;460;;;JLF
02/01/1910;14;14;river;Gambia;;1261;;;JLF
02/01/1910;14;15;river;Gambia;;1350;;;JLF
02/01/1910;14;16;river;Gambia;;1439;;;JLF
02/01/1910;14;17;river;Gambia;;1528;;;JLF
02/01/1910;14;50;river;Senegal;;4465;;;JLF
02/01/1910;14;51;river;Senegal;;4554;;;JLF
