DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;
03/01/1910;33;24;road;;;2170;;;JLF;
03/01/1910;34;24;road;;;2171;;;JLF;
03/01/1910;35;24;road;;;2172;;;JLF;
03/01/1910;36;24;road;;;2173;;;JLF;
03/01/1910;37;24;road;;;2174;;;JLF;
03/01/1910;38;24;road;;;2175;;;JLF;
03/01/1910;39;24;road;;;2176;;;JLF;
03/01/1910;40;24;road;;;2177;;;JLF;
03/01/1910;26;25;road;;;2252;;;JLF;
03/01/1910;27;25;road;;;2253;;;JLF;
03/01/1910;28;25;road;;;2254;;;JLF;
03/01/1910;30;25;road;;;2256;;;JLF;
03/01/1910;31;25;road;;;2257;;;JLF;
03/01/1910;32;25;road;;;2258;;;JLF;
03/01/1910;33;25;road;;;2259;;;JLF;
03/01/1910;34;25;road;;;2260;;;JLF;
03/01/1910;35;25;road;;;2261;;;JLF;
03/01/1910;22;26;road;;;2337;;;JLF;
03/01/1910;23;26;road;;;2338;;;JLF;
03/01/1910;28;26;road;;;2343;;;JLF;
03/01/1910;29;26;road;;;2344;;;JLF;
03/01/1910;23;27;road;;;;;;PAM;
03/01/1910;24;27;road;;;;;;PAM;
03/01/1910;25;27;road;;;2429;;;JLF;
03/01/1910;25;28;road;;;2518;;;JLF;
03/01/1910;25;29;road;;;2607;;;JLF;
03/01/1910;25;30;road;;;2696;;;JLF;
03/01/1910;25;31;road;;;2785;;;JLF;
03/01/1910;25;32;road;;;2874;;;JLF;
03/01/1910;25;33;road;;;2963;;;JLF;
03/01/1910;24;34;road;;;3051;;;JLF;
03/01/1910;25;34;road;;;3052;;;JLF;
03/01/1910;23;35;road;;;3139;;;JLF;
03/01/1910;24;35;road;;;3140;;;JLF;
03/01/1910;23;36;road;;;3228;;;JLF;
04/01/1910;20;26;road;;;2335;;;JLF;
04/01/1910;21;26;road;;;2336;;;JLF;
04/01/1910;18;27;road;;;2422;;;JLF;
04/01/1910;19;27;road;;;2423;;;JLF;
04/01/1910;20;27;road;;;2424;;;JLF;
04/01/1910;8;28;road;;;2501;;;JLF;
04/01/1910;9;28;road;;;2502;;;JLF;
04/01/1910;10;28;road;;;2503;;;JLF;
04/01/1910;11;28;road;;;2504;;;JLF;
04/01/1910;16;28;road;;;2509;;;JLF;
04/01/1910;17;28;road;;;2510;;;JLF;
04/01/1910;18;28;road;;;2511;;;JLF;
04/01/1910;8;29;road;;;2590;;;JLF;
04/01/1910;11;29;road;;;2593;;;JLF;
04/01/1910;14;29;road;;;2596;;;JLF;
04/01/1910;15;29;road;;;2597;;;JLF;
04/01/1910;16;29;road;;;2598;;;JLF;
04/01/1910;7;30;road;;;2678;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
04/01/1910;8;30;road;;;2679;;;JLF;
04/01/1910;11;30;road;;;2682;;;JLF;
04/01/1910;12;30;road;;;2683;;;JLF;
04/01/1910;13;30;road;;;2684;;;JLF;
04/01/1910;14;30;road;;;2685;;;JLF;
04/01/1910;7;31;road;;;2767;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
04/01/1910;6;32;road;;;2855;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
04/01/1910;7;32;road;;;2856;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
04/01/1910;6;33;road;;;2944;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
04/01/1910;7;33;road;;;2945;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
04/01/1910;3;34;road;;;3030;;;JLF;
04/01/1910;4;34;road;;;3031;;;JLF;
04/01/1910;5;34;road;;;3032;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
04/01/1910;6;34;road;;;3033;;;JLF,PAM:20130304-VillesCentenal.1b.xls;
05/01/1910;18;33;road;;;2956;;;JLF;
05/01/1910;0;34;road;;;3027;20130603-Ajout pour routes dans Dakar;;JLF;
05/01/1910;1;34;road;;;3028;20130603-Ajout pour routes dans Dakar;;JLF;
05/01/1910;13;34;road;;;3040;;;JLF;
05/01/1910;14;34;road;;;3041;;;JLF;
05/01/1910;15;34;road;;;3042;;;JLF;
05/01/1910;17;34;road;;;3044;;;JLF;
05/01/1910;18;34;road;;;3045;;;JLF;
05/01/1910;0;35;road;;;3116;;;JLF;
05/01/1910;1;35;road;;;3117;;;JLF;
05/01/1910;2;35;road;;;3118;;;JLF;
05/01/1910;3;35;road;;;3119;;;JLF;
05/01/1910;4;35;road;;;3120;20130603-Ajout pour routes dans Rufisque;;JLF;
05/01/1910;5;35;road;;;3121;;;JLF;
05/01/1910;6;35;road;;;3122;;;JLF;
05/01/1910;7;35;road;;;3123;;;JLF;
05/01/1910;8;35;road;;;3124;;;JLF;
05/01/1910;9;35;road;;;3125;;;JLF;
05/01/1910;10;35;road;;;3126;;;JLF;
05/01/1910;11;35;road;;;3127;;;JLF;
05/01/1910;12;35;road;;;3128;;;JLF;
05/01/1910;13;35;road;;;3129;;;JLF;
05/01/1910;8;36;road;;;3213;;;JLF;
05/01/1910;9;36;road;;;3214;;;JLF;
05/01/1910;9;37;road;;;3303;;;JLF;
05/01/1910;10;37;road;;;3304;;;JLF;
05/01/1910;10;38;road;;;3393;;;JLF;
05/01/1910;11;38;road;;;3394;;;JLF;
05/01/1910;11;39;road;;;3483;;;JLF;
05/01/1910;12;39;road;;;3484;;;JLF;
05/01/1910;12;40;road;;;3573;;;JLF;
05/01/1910;13;40;road;;;3574;;;JLF;
05/01/1910;13;41;road;;;3663;;;JLF;
05/01/1910;13;42;road;;;3752;;;JLF;
05/01/1910;14;42;road;;;3753;;;JLF;
05/01/1910;14;43;road;;;3842;;;JLF;
05/01/1910;15;43;road;;;3843;;;JLF;
05/01/1910;15;44;road;;;3932;;;JLF;
05/01/1910;16;44;road;;;3933;;;JLF;
05/01/1910;16;45;road;;;4022;;;JLF;
05/01/1910;17;45;road;;;4023;;;JLF;
05/01/1910;17;46;road;;;4112;;;JLF;
05/01/1910;17;47;road;;;4201;;;JLF;
05/01/1910;18;47;road;;;4202;;;JLF;
05/01/1910;16;48;road;;;4289;;;JLF;
05/01/1910;17;48;road;;;4290;;;JLF;
05/01/1910;15;49;road;;;4377;;;JLF;
05/01/1910;16;49;road;;;4378;;;JLF;
05/01/1910;15;50;road;;;4466;;;JLF;
05/01/1910;14;51;road;;;4554;;;JLF;
05/01/1910;15;51;road;;;4555;;;JLF;
05/01/1910;15;52;road;;;4644;;;JLF;
05/01/1910;15;53;road;;;4733;;;JLF;
05/01/1910;16;34;road;;;3043;;;JLF;
06/01/1910;24;26;road;;;2339;;;JLF;
06/01/1910;25;26;road;;;2340;;;JLF;
06/01/1910;26;26;road;;;2341;;;JLF;
06/01/1910;27;26;road;;;2342;;;JLF;
06/01/1910;15;54;road;;;4822;;;JLF;
06/01/1910;16;54;road;;;4823;;;JLF;
06/01/1910;17;54;road;;;4824;;;JLF;
06/01/1910;17;55;road;;;4913;;;JLF;
06/01/1910;18;55;road;;;4914;;;JLF;
06/01/1910;18;56;road;;;5003;;;JLF;
06/01/1910;19;56;road;;;5004;;;JLF;
06/01/1910;19;57;road;;;5093;;;JLF;
06/01/1910;20;57;road;;;5094;;;JLF;
06/01/1910;21;57;road;;;5095;;;JLF;
06/01/1910;21;58;road;;;5184;;;JLF;
06/01/1910;22;58;road;;;5185;;;JLF;
06/01/1910;23;58;road;;;5186;;;JLF;
06/01/1910;23;59;road;;;5275;;;JLF;
06/01/1910;24;59;road;;;5276;;;JLF;
06/01/1910;25;59;road;;;5277;;;JLF;
06/01/1910;26;59;road;;;5278;;;JLF;
06/01/1910;24;60;road;;;5365;;;JLF;
06/01/1910;25;60;road;;;5366;;;JLF;
06/01/1910;26;60;road;;;5367;;;JLF;
07/01/1910;52;21;road;;;1922;;;JLF;
