DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;id;info;;
02/01/1910;20;26;city;Kaolack;;;;;
02/01/1910;20;27;city;Kaolack;;;;;
02/01/1910;21;26;city;Kaolack;;;;;
02/01/1910;0;34;city;Dakar;;;;;
02/01/1910;0;35;city;Dakar;;;;;
02/01/1910;1;34;city;Dakar;;;;;
02/01/1910;1;35;city;Dakar;;;;;
02/01/1910;3;34;city;Rufisque;;;;;
02/01/1910;3;35;city;Rufisque;;;;;
02/01/1910;4;34;city;Rufisque;;;;;
02/01/1910;4;35;city;Rufisque;;;;;
02/01/1910;8;30;city;Mbour;;;;;
02/01/1910;8;35;city;Thies;;;;;
02/01/1910;8;36;city;Thies;;;;;
02/01/1910;9;35;city;Thies;;;;;
02/01/1910;9;36;city;Thies;;;;;
02/01/1910;10;38;city;Tivaouane;;;;;
02/01/1910;11;16;city;Banjul;;;;;
02/01/1910;12;15;city;Banjul;;;;;
02/01/1910;12;16;city;Banjul;;;;;
02/01/1910;12;17;city;Banjul;;;;;
02/01/1910;13;16;city;Banjul;;;;;
02/01/1910;14;53;city;Saint-Louis;;;;;
02/01/1910;15;26;city;Foundiougne;;;;;
02/01/1910;15;53;city;Saint-Louis;;;;;
02/01/1910;17;3;city;Ziguinchor;;;;;
02/01/1910;17;4;city;Ziguinchor;;;;;
02/01/1910;18;3;city;Ziguinchor;;;;;
02/01/1910;18;4;city;Ziguinchor;;;;;
02/01/1910;18;33;city;Diourbel;;;;;
02/01/1910;18;34;city;Diourbel;;;;;
02/01/1910;18;47;city;Louga;;;;;
02/01/1910;26;59;city;Richard-Toll;;;;;
02/01/1910;26;60;city;Richard-Toll;;;;;
02/01/1910;28;26;city;Kaffrine;;;;;
02/01/1910;29;60;city;Dagana;;;;;
02/01/1910;34;44;city;Linguere;;;;;
02/01/1910;36;62;city;Podor;;;;;
02/01/1910;37;8;city;Kolda;;;;;
02/01/1910;37;62;city;Podor;;;;;
02/01/1910;39;18;city;Georgetown;;;;;
02/01/1910;55;21;city;Tambacounda;;;;;
02/01/1910;61;48;city;Matam;;;;;
02/01/1910;66;40;city;Bakel;;;;;
02/01/1910;76;3;city;Kedougou;;;;;
02/01/1910;76;4;city;Kedougou;;;;;
02/01/1910;76;31;city;Kidira;;;;;
02/01/1910;87;30;city;Kayes;;;;;
02/01/1910;87;31;city;Kayes;;;;;
02/01/1910;23;36;city;Touba-Mbacke;;;;;
02/01/1910;48;9;city;Diaobe;;;;;
02/01/1910;54;12;city;Medina-Gounass;;;;;
02/01/1910;0;34;road;;;;;;
02/01/1910;0;35;road;;;;;;
02/01/1910;1;34;road;;;;;;
02/01/1910;1;35;road;;;;;;
02/01/1910;2;35;road;;;;;;
02/01/1910;3;34;road;;;;;;
02/01/1910;3;35;road;;;;;;
02/01/1910;4;34;road;;;;;;
02/01/1910;4;35;road;;;;;;
02/01/1910;4;35;road;;;;;;
02/01/1910;5;35;road;;;;;;
02/01/1910;6;35;road;;;;;;
02/01/1910;7;35;road;;;;;;
02/01/1910;8;28;road;;;;;;
02/01/1910;8;29;road;;;;;;
02/01/1910;8;30;road;;;;;;
02/01/1910;8;35;road;;;;;;
02/01/1910;8;36;road;;;;;;
02/01/1910;9;27;road;;;;;;
02/01/1910;9;28;road;;;;;;
02/01/1910;9;33;road;;;;;;
02/01/1910;9;34;road;;;;;;
02/01/1910;9;35;road;;;;;;
02/01/1910;9;36;road;;;;;;
02/01/1910;9;37;road;;;;;;
02/01/1910;10;2;road;;;;;;
02/01/1910;10;26;road;;;;;;
02/01/1910;10;27;road;;;;;;
02/01/1910;10;28;road;;;;;;
02/01/1910;10;32;road;;;;;;
02/01/1910;10;33;road;;;;;;
02/01/1910;10;35;road;;;;;;
02/01/1910;10;37;road;;;;;;
02/01/1910;10;38;road;;;;;;
02/01/1910;11;1;road;;;;;;
02/01/1910;11;2;road;;;;;;
02/01/1910;11;9;road;;;;;;
02/01/1910;11;10;road;;;;;;
02/01/1910;11;16;road;;;;;;
02/01/1910;11;25;road;;;;;;
02/01/1910;11;26;road;;;;;;
02/01/1910;11;28;road;;;;;;
02/01/1910;11;29;road;;;;;;
02/01/1910;11;30;road;;;;;;
02/01/1910;11;31;road;;;;;;
02/01/1910;11;32;road;;;;;;
02/01/1910;11;35;road;;;;;;
02/01/1910;11;38;road;;;;;;
02/01/1910;11;39;road;;;;;;
02/01/1910;12;1;road;;;;;;
02/01/1910;12;10;road;;;;;;
02/01/1910;12;15;road;;;;;;
02/01/1910;12;16;road;;;;;;
02/01/1910;12;17;road;;;;;;
02/01/1910;12;30;road;;;;;;
02/01/1910;12;31;road;;;;;;
02/01/1910;12;32;road;;;;;;
02/01/1910;12;35;road;;;;;;
02/01/1910;12;39;road;;;;;;
02/01/1910;12;40;road;;;;;;
02/01/1910;13;0;road;;;;;;
02/01/1910;13;1;road;;;;;;
02/01/1910;13;2;road;;;;;;
02/01/1910;13;10;road;;;;;;
02/01/1910;13;11;road;;;;;;
02/01/1910;13;12;road;;;;;;
02/01/1910;13;16;road;;;;;;
02/01/1910;13;18;road;;;;;;
02/01/1910;13;30;road;;;;;;
02/01/1910;13;32;road;;;;;;
02/01/1910;13;33;road;;;;;;
02/01/1910;13;34;road;;;;;;
02/01/1910;13;35;road;;;;;;
02/01/1910;13;40;road;;;;;;
02/01/1910;13;41;road;;;;;;
02/01/1910;13;42;road;;;;;;
02/01/1910;14;1;road;;;;;;
02/01/1910;14;2;road;;;;;;
02/01/1910;14;12;road;;;;;;
02/01/1910;14;18;road;;;;;;
02/01/1910;14;29;road;;;;;;
02/01/1910;14;30;road;;;;;;
02/01/1910;14;34;road;;;;;;
02/01/1910;14;35;road;;;;;;
02/01/1910;14;36;road;;;;;;
02/01/1910;14;42;road;;;;;;
02/01/1910;14;43;road;;;;;;
02/01/1910;14;51;road;;;;;;
02/01/1910;14;53;road;;;;;;
02/01/1910;15;2;road;;;;;;
02/01/1910;15;12;road;;;;;;
02/01/1910;15;18;road;;;;;;
02/01/1910;15;26;road;;;;;;
02/01/1910;15;27;road;;;;;;
02/01/1910;15;28;road;;;;;;
02/01/1910;15;29;road;;;;;;
02/01/1910;15;33;road;;;;;;
02/01/1910;15;34;road;;;;;;
02/01/1910;15;35;road;;;;;;
02/01/1910;15;36;road;;;;;;
02/01/1910;15;43;road;;;;;;
02/01/1910;15;44;road;;;;;;
02/01/1910;15;49;road;;;;;;
02/01/1910;15;50;road;;;;;;
02/01/1910;15;51;road;;;;;;
02/01/1910;15;52;road;;;;;;
02/01/1910;15;53;road;;;;;;
02/01/1910;15;54;road;;;;;;
02/01/1910;16;2;road;;;;;;
02/01/1910;16;3;road;;;;;;
02/01/1910;16;11;road;;;;;;
02/01/1910;16;12;road;;;;;;
02/01/1910;16;18;road;;;;;;
02/01/1910;16;22;road;;;;;;
02/01/1910;16;23;road;;;;;;
02/01/1910;16;24;road;;;;;;
02/01/1910;16;26;road;;;;;;
02/01/1910;16;28;road;;;;;;
02/01/1910;16;29;road;;;;;;
02/01/1910;16;30;road;;;;;;
02/01/1910;16;31;road;;;;;;
02/01/1910;16;32;road;;;;;;
02/01/1910;16;33;road;;;;;;
02/01/1910;16;34;road;;;;;;
02/01/1910;16;35;road;;;;;;
02/01/1910;16;36;road;;;;;;
02/01/1910;16;37;road;;;;;;
02/01/1910;16;44;road;;;;;;
02/01/1910;16;45;road;;;;;;
02/01/1910;16;48;road;;;;;;
02/01/1910;16;49;road;;;;;;
02/01/1910;16;51;road;;;;;;
02/01/1910;16;52;road;;;;;;
02/01/1910;16;54;road;;;;;;
02/01/1910;17;3;road;;;;;;
02/01/1910;17;4;road;;;;;;
02/01/1910;17;11;road;;;;;;
02/01/1910;17;12;road;;;;;;
02/01/1910;17;18;road;;;;;;
02/01/1910;17;19;road;;;;;;
02/01/1910;17;20;road;;;;;;
02/01/1910;17;21;road;;;;;;
02/01/1910;17;22;road;;;;;;
02/01/1910;17;24;road;;;;;;
02/01/1910;17;25;road;;;;;;
02/01/1910;17;26;road;;;;;;
02/01/1910;17;28;road;;;;;;
02/01/1910;17;30;road;;;;;;
02/01/1910;17;31;road;;;;;;
02/01/1910;17;34;road;;;;;;
02/01/1910;17;37;road;;;;;;
02/01/1910;17;45;road;;;;;;
02/01/1910;17;46;road;;;;;;
02/01/1910;17;47;road;;;;;;
02/01/1910;17;48;road;;;;;;
02/01/1910;17;51;road;;;;;;
02/01/1910;17;52;road;;;;;;
02/01/1910;17;54;road;;;;;;
02/01/1910;17;55;road;;;;;;
02/01/1910;18;3;road;;;;;;
02/01/1910;18;4;road;;;;;;
02/01/1910;18;5;road;;;;;;
02/01/1910;18;6;road;;;;;;
02/01/1910;18;7;road;;;;;;
02/01/1910;18;8;road;;;;;;
02/01/1910;18;9;road;;;;;;
02/01/1910;18;10;road;;;;;;
02/01/1910;18;11;road;;;;;;
02/01/1910;18;25;road;;;;;;
02/01/1910;18;27;road;;;;;;
02/01/1910;18;28;road;;;;;;
02/01/1910;18;31;road;;;;;;
02/01/1910;18;32;road;;;;;;
02/01/1910;18;33;road;;;;;;
02/01/1910;18;34;road;;;;;;
02/01/1910;18;37;road;;;;;;
02/01/1910;18;38;road;;;;;;
02/01/1910;18;39;road;;;;;;
02/01/1910;18;40;road;;;;;;
02/01/1910;18;47;road;;;;;;
02/01/1910;18;48;road;;;;;;
02/01/1910;18;49;road;;;;;;
02/01/1910;18;50;road;;;;;;
02/01/1910;18;51;road;;;;;;
02/01/1910;18;52;road;;;;;;
02/01/1910;18;55;road;;;;;;
02/01/1910;18;56;road;;;;;;
02/01/1910;19;7;road;;;;;;
02/01/1910;19;8;road;;;;;;
02/01/1910;19;27;road;;;;;;
02/01/1910;19;34;road;;;;;;
02/01/1910;19;35;road;;;;;;
02/01/1910;19;40;road;;;;;;
02/01/1910;19;41;road;;;;;;
02/01/1910;19;42;road;;;;;;
02/01/1910;19;43;road;;;;;;
02/01/1910;19;47;road;;;;;;
02/01/1910;19;52;road;;;;;;
02/01/1910;19;56;road;;;;;;
02/01/1910;19;57;road;;;;;;
02/01/1910;20;8;road;;;;;;
02/01/1910;20;26;road;;;;;;
02/01/1910;20;27;road;;;;;;
02/01/1910;20;34;road;;;;;;
02/01/1910;20;35;road;;;;;;
02/01/1910;20;42;road;;;;;;
02/01/1910;20;43;road;;;;;;
02/01/1910;20;44;road;;;;;;
02/01/1910;20;46;road;;;;;;
02/01/1910;20;47;road;;;;;;
02/01/1910;20;52;road;;;;;;
02/01/1910;20;57;road;;;;;;
02/01/1910;21;8;road;;;;;;
02/01/1910;21;9;road;;;;;;
02/01/1910;21;26;road;;;;;;
02/01/1910;21;35;road;;;;;;
02/01/1910;21;42;road;;;;;;
02/01/1910;21;44;road;;;;;;
02/01/1910;21;45;road;;;;;;
02/01/1910;21;46;road;;;;;;
02/01/1910;21;52;road;;;;;;
02/01/1910;21;57;road;;;;;;
02/01/1910;21;58;road;;;;;;
02/01/1910;22;9;road;;;;;;
02/01/1910;22;26;road;;;;;;
02/01/1910;22;35;road;;;;;;
02/01/1910;22;42;road;;;;;;
02/01/1910;22;52;road;;;;;;
02/01/1910;22;58;road;;;;;;
02/01/1910;23;9;road;;;;;;
02/01/1910;23;10;road;;;;;;
02/01/1910;23;26;road;;;;;;
02/01/1910;23;35;road;;;;;;
02/01/1910;23;36;road;;;;;;
02/01/1910;23;37;road;;;;;;
02/01/1910;23;38;road;;;;;;
02/01/1910;23;41;road;;;;;;
02/01/1910;23;42;road;;;;;;
02/01/1910;23;58;road;;;;;;
02/01/1910;23;59;road;;;;;;
02/01/1910;24;10;road;;;;;;
02/01/1910;24;26;road;;;;;;
02/01/1910;24;34;road;;;;;;
02/01/1910;24;35;road;;;;;;
02/01/1910;24;38;road;;;;;;
02/01/1910;24;39;road;;;;;;
02/01/1910;24;40;road;;;;;;
02/01/1910;24;41;road;;;;;;
02/01/1910;24;59;road;;;;;;
02/01/1910;24;60;road;;;;;;
02/01/1910;25;10;road;;;;;;
02/01/1910;25;26;road;;;;;;
02/01/1910;25;27;road;;;;;;
02/01/1910;25;28;road;;;;;;
02/01/1910;25;29;road;;;;;;
02/01/1910;25;30;road;;;;;;
02/01/1910;25;31;road;;;;;;
02/01/1910;25;32;road;;;;;;
02/01/1910;25;33;road;;;;;;
02/01/1910;25;34;road;;;;;;
02/01/1910;25;59;road;;;;;;
02/01/1910;25;60;road;;;;;;
02/01/1910;26;10;road;;;;;;
02/01/1910;26;25;road;;;;;;
02/01/1910;26;26;road;;;;;;
02/01/1910;26;27;road;;;;;;
02/01/1910;26;28;road;;;;;;
02/01/1910;26;33;road;;;;;;
02/01/1910;26;59;road;;;;;;
02/01/1910;26;60;road;;;;;;
02/01/1910;27;10;road;;;;;;
02/01/1910;27;25;road;;;;;;
02/01/1910;27;26;road;;;;;;
02/01/1910;27;32;road;;;;;;
02/01/1910;27;33;road;;;;;;
02/01/1910;27;59;road;;;;;;
02/01/1910;27;60;road;;;;;;
02/01/1910;28;10;road;;;;;;
02/01/1910;28;11;road;;;;;;
02/01/1910;28;25;road;;;;;;
02/01/1910;28;26;road;;;;;;
02/01/1910;28;32;road;;;;;;
02/01/1910;28;60;road;;;;;;
02/01/1910;29;11;road;;;;;;
02/01/1910;29;26;road;;;;;;
02/01/1910;29;32;road;;;;;;
02/01/1910;29;33;road;;;;;;
02/01/1910;29;60;road;;;;;;
02/01/1910;30;11;road;;;;;;
02/01/1910;30;25;road;;;;;;
02/01/1910;30;26;road;;;;;;
02/01/1910;30;33;road;;;;;;
02/01/1910;30;60;road;;;;;;
02/01/1910;31;11;road;;;;;;
02/01/1910;31;25;road;;;;;;
02/01/1910;31;32;road;;;;;;
02/01/1910;31;33;road;;;;;;
02/01/1910;31;60;road;;;;;;
02/01/1910;32;10;road;;;;;;
02/01/1910;32;11;road;;;;;;
02/01/1910;32;25;road;;;;;;
02/01/1910;32;30;road;;;;;;
02/01/1910;32;31;road;;;;;;
02/01/1910;32;32;road;;;;;;
02/01/1910;32;60;road;;;;;;
02/01/1910;32;61;road;;;;;;
02/01/1910;33;10;road;;;;;;
02/01/1910;33;24;road;;;;;;
02/01/1910;33;25;road;;;;;;
02/01/1910;33;28;road;;;;;;
02/01/1910;33;29;road;;;;;;
02/01/1910;33;30;road;;;;;;
02/01/1910;33;60;road;;;;;;
02/01/1910;34;9;road;;;;;;
02/01/1910;34;10;road;;;;;;
02/01/1910;34;24;road;;;;;;
02/01/1910;34;25;road;;;;;;
02/01/1910;34;28;road;;;;;;
02/01/1910;34;60;road;;;;;;
02/01/1910;35;9;road;;;;;;
02/01/1910;35;24;road;;;;;;
02/01/1910;35;25;road;;;;;;
02/01/1910;35;26;road;;;;;;
02/01/1910;35;27;road;;;;;;
02/01/1910;35;28;road;;;;;;
02/01/1910;35;60;road;;;;;;
02/01/1910;36;8;road;;;;;;
02/01/1910;36;9;road;;;;;;
02/01/1910;36;24;road;;;;;;
02/01/1910;36;60;road;;;;;;
02/01/1910;36;61;road;;;;;;
02/01/1910;36;62;road;;;;;;
02/01/1910;37;8;road;;;;;;
02/01/1910;37;24;road;;;;;;
02/01/1910;37;60;road;;;;;;
02/01/1910;37;61;road;;;;;;
02/01/1910;37;62;road;;;;;;
02/01/1910;38;8;road;;;;;;
02/01/1910;38;24;road;;;;;;
02/01/1910;38;60;road;;;;;;
02/01/1910;38;61;road;;;;;;
02/01/1910;39;7;road;;;;;;
02/01/1910;39;8;road;;;;;;
02/01/1910;39;24;road;;;;;;
02/01/1910;39;60;road;;;;;;
02/01/1910;39;61;road;;;;;;
02/01/1910;40;7;road;;;;;;
02/01/1910;40;8;road;;;;;;
02/01/1910;40;24;road;;;;;;
02/01/1910;40;60;road;;;;;;
02/01/1910;41;8;road;;;;;;
02/01/1910;41;24;road;;;;;;
02/01/1910;41;60;road;;;;;;
02/01/1910;42;8;road;;;;;;
02/01/1910;42;24;road;;;;;;
02/01/1910;42;60;road;;;;;;
02/01/1910;43;8;road;;;;;;
02/01/1910;43;24;road;;;;;;
02/01/1910;43;60;road;;;;;;
02/01/1910;44;8;road;;;;;;
02/01/1910;44;24;road;;;;;;
02/01/1910;44;60;road;;;;;;
02/01/1910;45;8;road;;;;;;
02/01/1910;45;23;road;;;;;;
02/01/1910;45;24;road;;;;;;
02/01/1910;45;59;road;;;;;;
02/01/1910;45;60;road;;;;;;
02/01/1910;46;8;road;;;;;;
02/01/1910;46;9;road;;;;;;
02/01/1910;46;23;road;;;;;;
02/01/1910;46;24;road;;;;;;
02/01/1910;46;58;road;;;;;;
02/01/1910;46;59;road;;;;;;
02/01/1910;47;9;road;;;;;;
02/01/1910;47;23;road;;;;;;
02/01/1910;47;57;road;;;;;;
02/01/1910;47;58;road;;;;;;
02/01/1910;48;9;road;;;;;;
02/01/1910;48;22;road;;;;;;
02/01/1910;48;23;road;;;;;;
02/01/1910;48;56;road;;;;;;
02/01/1910;48;57;road;;;;;;
02/01/1910;49;9;road;;;;;;
02/01/1910;49;22;road;;;;;;
02/01/1910;49;56;road;;;;;;
02/01/1910;49;57;road;;;;;;
02/01/1910;50;9;road;;;;;;
02/01/1910;50;10;road;;;;;;
02/01/1910;50;22;road;;;;;;
02/01/1910;50;55;road;;;;;;
02/01/1910;50;56;road;;;;;;
02/01/1910;51;10;road;;;;;;
02/01/1910;51;22;road;;;;;;
02/01/1910;51;54;road;;;;;;
02/01/1910;51;55;road;;;;;;
02/01/1910;52;10;road;;;;;;
02/01/1910;52;11;road;;;;;;
