"ANNEE" "RG" "Tmin" "Tmax"
"1" "1" 560 4.1 15.2
"2" "1" 640 6.8 12.7
"3" "1" 230 9 12.7
"4" "1" 590 8.6 13.1
"5" "1" 860 6 12.3
"6" "1" 810 1.7 15.6
"7" "1" 750 -0.2 15.5
"8" "1" 830 7 11.6
"9" "1" 760 2.9 11
"10" "1" 420 1.1 8.8
"11" "1" 730 -1.8 9.7
"12" "1" 610 -3 9.2
"13" "1" 670 -0.8 10.3
"14" "1" 720 -2.4 9.7
"15" "1" 600 1.6 14.3
"16" "1" 490 5.6 14.7
"17" "1" 580 5.9 15.5
"18" "1" 410 6.5 14.7
"19" "1" 280 6.9 15.6
"20" "1" 70 7.1 11.8
"21" "1" 340 6.1 9.7
"22" "1" 620 1.7 11.3
"23" "1" 510 -1.1 8.7
"24" "1" 280 -1.7 6.5
"25" "1" 330 5.5 10.4
"26" "1" 750 5.1 9.7
"27" "1" 700 1.1 12.5
"28" "1" 650 0.5 11.4
"29" "1" 440 4.3 12.4
"30" "1" 670 7.8 13.4
"31" "1" 580 -1 11.3
"32" "1" 330 1.1 6.9
"33" "1" 720 0.8 6.6
"34" "1" 720 -1 3.5
"35" "1" 730 0 2.7
"36" "1" 690 -2 3
"37" "1" 590 0 10.7
"38" "1" 720 2.7 9
"39" "1" 640 4 10
"40" "1" 660 5.4 13.6
"41" "1" 730 7.8 14.3
"42" "1" 440 1.8 12.6
"43" "1" 570 2.3 15.4
"44" "1" 740 7.5 14.7
"45" "1" 690 1.4 9.6
"46" "1" 770 0.8 5.6
"47" "1" 740 -3.2 12
"48" "1" 760 2.5 12
"49" "1" 630 2.1 6.5
"50" "1" 740 -1.6 3.4
"51" "1" 210 -4.2 3
"52" "1" 70 -0.5 4.6
"53" "1" 670 -5 1
"54" "1" 670 -10.5 -6
"55" "1" 130 -8.7 9.1
"56" "1" 120 -5 8.5
"57" "1" 370 -5.6 -2.3
"58" "1" 610 -5.8 -3
"59" "1" 680 -6 -2.7
"60" "1" 720 -4.5 -0.7
"61" "1" 770 -2.5 1
"62" "1" 640 -2.1 3
"63" "1" 400 -1.7 2.8
"64" "1" 770 -4.9 4.6
"65" "1" 860 -6.1 4
"66" "1" 890 -1.2 4.1
"67" "1" 610 -3.5 6.2
"68" "1" 610 3.2 11.3
"69" "1" 590 1.2 8.2
"70" "1" 530 0.3 11.2
"71" "1" 550 1.5 7.2
"72" "1" 560 1.4 6
"73" "1" 900 -1 7.3
"74" "1" 990 -2.5 11.4
"75" "1" 200 -1.7 10.9
"76" "1" 100 7.6 11.6
"77" "1" 310 6.9 9.7
"78" "1" 820 4.3 10.3
"79" "1" 1100 4 8.6
"80" "1" 1070 6 14.8
"81" "1" 1120 9 16.9
"82" "1" 990 4 15.7
"83" "1" 300 10.9 15
"84" "1" 490 9.2 12.2
"85" "1" 140 7.4 9
"86" "1" 1150 4.9 10.9
"87" "1" 1060 2.7 16
"88" "1" 1020 6.6 8.7
"89" "1" 1260 3.6 7.5
"90" "1" 1220 0.5 6.5
"91" "1" 1160 0.1 5.7
"92" "1" 1010 -0.6 3.1
"93" "1" 340 -1.5 1.7
"94" "1" 490 -0.6 3.7
"95" "1" 350 -4.1 5.5
"96" "1" 1320 1.8 7.5
"97" "1" 1110 -1.6 11.6
"98" "1" 750 1.2 13.9
"99" "1" 840 6.8 15.4
"100" "1" 620 6.1 14
"101" "1" 1240 5.2 17.9
"102" "1" 1390 11 18.5
"103" "1" 470 8.5 19.2
"104" "1" 1250 4 10.3
"105" "1" 1330 0.2 10.9
"106" "1" 1580 4.5 9.5
"107" "1" 1170 0.8 9.9
"108" "1" 570 -0.3 9.1
"109" "1" 210 5.8 8.1
"110" "1" 310 5.5 7.8
"111" "1" 1320 3.7 12
"112" "1" 760 1.3 10.9
"113" "1" 840 4.9 11.1
"114" "1" 720 5.4 10.2
"115" "1" 1360 2.7 6.3
"116" "1" 1720 2.3 10.8
"117" "1" 1700 3.2 10.6
"118" "1" 1690 2.8 11
"119" "1" 1690 -1.7 14.5
"120" "1" 1460 1.4 13.2
"121" "1" 1610 1.1 10.7
"122" "1" 690 -3.4 10.5
"123" "1" 1980 0.2 13.9
"124" "1" 1970 -0.3 17.3
"125" "1" 1740 3 18.1
"126" "1" 770 6.5 16.5
"127" "1" 1050 7.8 15
"128" "1" 940 2.4 15.8
"129" "1" 510 11 13.9
"130" "1" 1780 1.7 13.1
"131" "1" 2180 3.5 9.2
"132" "1" 2180 3 11.6
"133" "1" 2110 3.9 12.7
"134" "1" 1170 3.3 14
"135" "1" 80 9 13.9
"136" "1" 1640 7.8 15
"137" "1" 850 8.4 16.2
"138" "1" 2070 5.7 20.3
"139" "1" 870 7.4 18.7
"140" "1" 160 12.4 13.5
"141" "1" 220 11.6 13
"142" "1" 2120 8 15.8
"143" "1" 2380 7.5 17.3
"144" "1" 2080 9.2 14.8
"145" "1" 2420 6.4 13.3
"146" "1" 2370 6.2 15.7
"147" "1" 2310 5.3 19.3
"148" "1" 2240 4.4 20.6
"149" "1" 2310 4.2 21.5
"150" "1" 2250 5 21.5
"151" "1" 1720 7.8 24.5
"152" "1" 980 10.8 18.2
"153" "1" 2540 11.3 18.7
"154" "1" 2340 8 21.8
"155" "1" 2480 5.4 21.5
"156" "1" 2060 4.9 21.5
"157" "1" 1680 9.5 19.6
"158" "1" 2400 7.1 23.3
"159" "1" 2480 9.7 25
"160" "1" 1460 9.8 21.4
"161" "1" 1720 8.6 21.5
"162" "1" 2160 10.5 24
"163" "1" 2510 4.8 24.6
"164" "1" 2480 6.6 24.4
"165" "1" 1530 9.9 15.6
"166" "1" 1980 5.2 11.4
"167" "1" 2410 6.3 14.9
"168" "1" 2670 9 14.7
"169" "1" 2730 8.4 16.6
"170" "1" 2690 8.7 23.4
"171" "1" 2630 9.2 21.4
"172" "1" 2000 8 21.7
"173" "1" 2520 9.8 24.3
"174" "1" 2110 9.6 21.6
"175" "1" 2450 10.4 17.8
"176" "1" 2780 7.4 19.9
"177" "1" 1810 5.2 18.7
"178" "1" 2640 6.7 18.7
"179" "1" 510 9 12.3
"180" "1" 1060 9.8 16.5
"181" "1" 1830 10.6 18.2
