"";"CELL_WIDTH_Ucm";"INIT_POP_SIZE";"NUMBER_OF_BURROW_SYSTEM";"MAX_AGE_Uday";"AGENT_PERCEPTION_RADIUS_UmeterByDay";"AGENT_SPEED_UmeterByDay";"REPRO_START_Umonth";"REPRO_END_Umonth";"MALE_SEXUAL_MATURITY_Uday";"FEMALE_SEXUAL_MATURITY_Uday";"GESTATION_LENGTH_Uday";"MATING_LATENCY_Uday";"LITTER_SIZE";"WEANING_AGE_Uday";"FEMALE_BURROW_SYSTEM_CARRYING_CAPACITY_MULTIPLIER"
"1";599;1400;55;840;42;9;2;11;38;80;10;11;11;23;4
"2";1271;1400;55;840;42;9;2;11;38;80;10;11;11;23;4
"3";1271;500;55;840;42;9;2;11;38;80;10;11;11;23;4
"4";1271;500;100;840;42;9;2;11;38;80;10;11;11;23;4
"5";1271;500;100;300;42;9;2;11;38;80;10;11;11;23;4
"6";1271;500;100;300;15;9;2;11;38;80;10;11;11;23;4
"7";1271;500;100;300;15;21;2;11;38;80;10;11;11;23;4
"8";1271;500;100;300;15;21;5;11;38;80;10;11;11;23;4
"9";1271;500;100;300;15;21;5;8;38;80;10;11;11;23;4
"10";1271;500;100;300;15;21;5;8;77;80;10;11;11;23;4
"11";1271;500;100;300;15;21;5;8;77;44;10;11;11;23;4
"12";1271;500;100;300;15;21;5;8;77;44;28;11;11;23;4
"13";1271;500;100;300;15;21;5;8;77;44;28;20;11;23;4
"14";1271;500;100;300;15;21;5;8;77;44;28;20;5;23;4
"15";1271;500;100;300;15;21;5;8;77;44;28;20;5;5;4
"16";1271;500;100;300;15;21;5;8;77;44;28;20;5;5;1
"17";1047;1400;25;1200;51;17;5;9;38;56;40;17;1;29;1
"18";375;1400;25;1200;51;17;5;9;38;56;40;17;1;29;1
"19";375;500;25;1200;51;17;5;9;38;56;40;17;1;29;1
"20";375;500;70;1200;51;17;5;9;38;56;40;17;1;29;1
"21";375;500;70;660;51;17;5;9;38;56;40;17;1;29;1
"22";375;500;70;660;24;17;5;9;38;56;40;17;1;29;1
"23";375;500;70;660;24;5;5;9;38;56;40;17;1;29;1
"24";375;500;70;660;24;5;2;9;38;56;40;17;1;29;1
"25";375;500;70;660;24;5;2;6;38;56;40;17;1;29;1
"26";375;500;70;660;24;5;2;6;77;56;40;17;1;29;1
"27";375;500;70;660;24;5;2;6;77;20;40;17;1;29;1
"28";375;500;70;660;24;5;2;6;77;20;22;17;1;29;1
"29";375;500;70;660;24;5;2;6;77;20;22;8;1;29;1
"30";375;500;70;660;24;5;2;6;77;20;22;8;7;29;1
"31";375;500;70;660;24;5;2;6;77;20;22;8;7;11;1
"32";375;500;70;660;24;5;2;6;77;20;22;8;7;11;4
"33";599;1400;40;300;24;9;2;11;64;68;22;11;5;11;6
"34";1271;1400;40;300;24;9;2;11;64;68;22;11;5;11;6
"35";1271;500;40;300;24;9;2;11;64;68;22;11;5;11;6
"36";1271;500;85;300;24;9;2;11;64;68;22;11;5;11;6
"37";1271;500;85;840;24;9;2;11;64;68;22;11;5;11;6
"38";1271;500;85;840;51;9;2;11;64;68;22;11;5;11;6
"39";1271;500;85;840;51;21;2;11;64;68;22;11;5;11;6
"40";1271;500;85;840;51;21;5;11;64;68;22;11;5;11;6
"41";1271;500;85;840;51;21;5;8;64;68;22;11;5;11;6
"42";1271;500;85;840;51;21;5;8;25;68;22;11;5;11;6
"43";1271;500;85;840;51;21;5;8;25;32;22;11;5;11;6
"44";1271;500;85;840;51;21;5;8;25;32;40;11;5;11;6
"45";1271;500;85;840;51;21;5;8;25;32;40;20;5;11;6
"46";1271;500;85;840;51;21;5;8;25;32;40;20;11;11;6
"47";1271;500;85;840;51;21;5;8;25;32;40;20;11;29;6
"48";1271;500;85;840;51;21;5;8;25;32;40;20;11;29;3
"49";1495;2000;85;1200;51;21;6;11;90;20;22;5;1;11;6
"50";823;2000;85;1200;51;21;6;11;90;20;22;5;1;11;6
"51";823;1100;85;1200;51;21;6;11;90;20;22;5;1;11;6
"52";823;1100;40;1200;51;21;6;11;90;20;22;5;1;11;6
"53";823;1100;40;660;51;21;6;11;90;20;22;5;1;11;6
"54";823;1100;40;660;24;21;6;11;90;20;22;5;1;11;6
"55";823;1100;40;660;24;9;6;11;90;20;22;5;1;11;6
"56";823;1100;40;660;24;9;3;11;90;20;22;5;1;11;6
"57";823;1100;40;660;24;9;3;8;90;20;22;5;1;11;6
"58";823;1100;40;660;24;9;3;8;51;20;22;5;1;11;6
"59";823;1100;40;660;24;9;3;8;51;56;22;5;1;11;6
"60";823;1100;40;660;24;9;3;8;51;56;40;5;1;11;6
"61";823;1100;40;660;24;9;3;8;51;56;40;14;1;11;6
"62";823;1100;40;660;24;9;3;8;51;56;40;14;7;11;6
"63";823;1100;40;660;24;9;3;8;51;56;40;14;7;29;6
"64";823;1100;40;660;24;9;3;8;51;56;40;14;7;29;3
"65";1495;1700;55;480;24;1;2;10;90;80;28;20;9;23;1
